"n","q","B2","s2","x.mean","x.shape","c.shape","specify.x.gamma","specify.c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bcc.B1","Bcc.B2","Bcc.B3","Bml.B1","Bml.B2","Bml.B3","Bsp.B1","Bsp.B2","Bsp.B3"
4000,0.5,0.2,0.09,0.5,2,2,1,1,100,15,3,1000001,0.995514094348023,0.205749589508501,-2.40700139762078,1.00992179144219,0.147911311332682,-2.44711771510434,1.00329589874008,0.188124601197946,-2.39912444368486,1.00970265863181,0.148698326692735,-2.44711276402224
4000,0.7,0.2,0.09,0.5,2,2,1,1,100,15,3,1000001,0.995514094348023,0.205749589508501,-2.40700139763082,0.998321111337567,0.160148485720101,-2.45920166263724,0.993468779210537,0.209877225731975,-2.40900596027465,0.996192159523216,0.169750454501697,-2.45913772810989
4000,0.5,0.2,0.09,0.5,2,2,0,1,100,15,3,1000001,0.995514094348023,0.205749589508501,-2.40700139762078,1.00992179144219,0.147911311332682,-2.44711771510434,1.00894936981927,0.148623145238422,-2.41158106783957,1.00966068886681,0.148874502617362,-2.44711980170629
4000,0.7,0.2,0.09,0.5,2,2,0,1,100,15,3,1000001,0.995514094348023,0.205749589508501,-2.40700139763082,0.998321111337567,0.160148485720101,-2.45920166263724,1.00224061712605,0.141080628299228,-2.42243130105397,0.998047518766553,0.162131172827327,-2.45921787620136
4000,0.5,0.2,0.09,0.5,2,2,1,0,100,15,3,1000001,0.995514094348023,0.205749589508501,-2.40700139762078,1.00992179144219,0.147911311332682,-2.44711771510434,1.00329589874008,0.188124601197946,-2.39912444368486,1.00979926788901,0.148442315248143,-2.44710746523905
4000,0.7,0.2,0.09,0.5,2,2,1,0,100,15,3,1000001,0.995514094348023,0.205749589508501,-2.40700139763082,0.998321111337567,0.160148485720101,-2.45920166263724,0.993468779210537,0.209877225731975,-2.40900596027465,0.996481416809258,0.168685412269178,-2.45915649849743
4000,0.5,0.2,0.09,0.5,2,2,0,0,100,15,3,1000001,0.995514094348023,0.205749589508501,-2.40700139762078,1.00992179144219,0.147911311332682,-2.44711771510434,1.00894936981927,0.148623145238422,-2.41158106783957,1.00971073522362,0.148750158897478,-2.44710426904705
4000,0.7,0.2,0.09,0.5,2,2,0,0,100,15,3,1000001,0.995514094348023,0.205749589508501,-2.40700139763082,0.998321111337567,0.160148485720101,-2.45920166263724,1.00224061712605,0.141080628299228,-2.42243130105397,0.998066051154501,0.162024504510078,-2.45921412212422
4000,0.5,0.2,0.09,0.5,2,2,1,1,100,15,3,1000002,1.00008551437894,0.201429729879591,-2.40588883289911,0.99697465802768,0.204032997352196,-2.38828743888079,0.999242075260459,0.202557531329612,-2.40484042236735,0.996974524943434,0.204124250211991,-2.38827290873884
4000,0.7,0.2,0.09,0.5,2,2,1,1,100,15,3,1000002,1.00008551437894,0.201429729879591,-2.405888832899,0.982101640166162,0.224151795162824,-2.38710517728559,0.990427732916778,0.217339263134634,-2.41640278568688,0.982217210417858,0.223646140595873,-2.38715074844269
4000,0.5,0.2,0.09,0.5,2,2,0,1,100,15,3,1000002,1.00008551437894,0.201429729879591,-2.40588883289911,0.99697465802768,0.204032997352196,-2.38828743888079,1.01462852785372,0.139407832103341,-2.41347242063299,0.997881601164853,0.201373234147464,-2.38826388019819
4000,0.7,0.2,0.09,0.5,2,2,0,1,100,15,3,1000002,1.00008551437894,0.201429729879591,-2.405888832899,0.982101640166162,0.224151795162824,-2.38710517728559,1.00665642604094,0.129254173022742,-2.42857436103253,0.988487920488961,0.198192622937724,-2.38695535586923
4000,0.5,0.2,0.09,0.5,2,2,1,0,100,15,3,1000002,1.00008551437894,0.201429729879591,-2.40588883289911,0.99697465802768,0.204032997352196,-2.38828743888079,0.999242075260459,0.202557531329612,-2.40484042236735,0.996933022291125,0.204333064251212,-2.38825773697908
