"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","x.correct","c.correct","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
800,0.6,10,4,0.5,1,4,1,1,40,40,5,4000001,0.513660170709615,10.5154845562745,2.21863205106493,1.33342898610234,-0.0750596434022258,11.7662923991956,2.58558418522454,1.28786463766523,0.532638737239182,10.5387352747528,2.09974120484549,1.30811985285591,0.00875815211296696,11.5869510136666,2.48868766759557,1.30784278513665
8000,0.6,10,4,0.5,1,4,1,1,40,40,5,4000001,1.04559126412722,9.987345820962,1.9460823303345,1.4168190687852,1.03777293046494,9.9682126114898,2.01365022990879,1.38438263606997,1.01150461629565,10.0751762444025,1.94742005525598,1.40900121357642,1.01307588214164,10.0539484439051,2.02303807585328,1.38810931706654
800,0.8,10,4,0.5,1,4,1,1,40,40,5,4000001,0.6816025747675,10.2545015501594,2.15986758009104,1.32661376743359,0.0476618115292788,12.227147144635,2.41837466151109,1.31034010024905,0.75964695449437,10.3359847283191,2.04951988672462,1.29278773114119,0.336577029901438,11.1367418440449,2.12209855761573,1.40877763599221
8000,0.8,10,4,0.5,1,4,1,1,40,40,5,4000001,0.83634932948282,10.2557222443486,2.09352674830859,1.41884348390212,0.571117066326313,10.9812878834875,2.27821435734547,1.45475216859986,0.882901986322998,10.195992798125,1.99744089744499,1.42739173625197,0.728267496904809,10.468118534347,2.12836058611095,1.47176335990133
800,0.6,10,4,0.5,1,4,0,1,40,40,5,4000001,0.513660170709615,10.5154845562745,2.21863205106493,1.33342898610234,-0.0750596434022258,11.7662923991956,2.58558418522454,1.28786463766523,1.25004579954463,9.27407269140412,1.37665284421145,1.34633267359812,0.0410034520237117,11.5062438178863,2.48742556311463,1.30311895466209
8000,0.6,10,4,0.5,1,4,0,1,40,40,5,4000001,1.04559126412722,9.987345820962,1.9460823303345,1.4168190687852,1.03777293046494,9.9682126114898,2.01365022990879,1.38438263606997,1.77720611234417,8.74998621278686,1.15334681417707,1.4369535340818,1.14115680565146,9.7512095698078,1.9372218033365,1.38744623712343
800,0.8,10,4,0.5,1,4,0,1,40,40,5,4000001,0.6816025747675,10.2545015501594,2.15986758009104,1.32661376743359,0.0476618115292788,12.227147144635,2.41837466151109,1.31034010024905,1.87571569545973,8.15034432741492,0.778880538379274,1.41058723067749,0.558115020862077,10.4818253934297,2.04292192706828,1.37196630301676
8000,0.8,10,4,0.5,1,4,0,1,40,40,5,4000001,0.83634932948282,10.2557222443486,2.09352674830859,1.41884348390212,0.571117066326313,10.9812878834875,2.27821435734547,1.45475216859986,2.15752636889949,7.69528737200399,0.600450344603269,1.55414454901614,0.9942039683718,9.64748846230154,2.03131894924091,1.44989465718703
800,0.6,10,4,0.5,1,4,1,1,40,40,5,4000002,1.3105551207292,9.64028084918727,1.92781496350666,1.42346432547358,0.948744871465931,10.7929944239046,2.09743627350252,1.36134214925335,1.26396334618082,9.82682555879078,2.00397902624782,1.42324592648293,0.999215731145193,10.6391676620413,2.06232398754786,1.36112416382443
8000,0.6,10,4,0.5,1,4,1,1,40,40,5,4000002,1.10126464011146,9.85643460084247,1.95997663397013,1.40387593919398,1.04687058680217,10.1005386021559,1.96433539938313,1.42942753836327,1.11392637519578,9.86506280034847,1.95854967970913,1.41392682289903,1.08334752062021,10.0000203557775,1.9420628602472,1.42918122640507
800,0.8,10,4,0.5,1,4,1,1,40,40,5,4000002,1.26853545914664,9.40718964616262,2.19133222025556,1.39867776843945,1.56990125700309,8.92759844578715,1.68957657254346,1.48058845668314,1.36802876286979,9.36766687634441,2.00351980282547,1.40041790312611,1.45343517469696,9.17689884517546,1.78410990270789,1.50938851339033
8000,0.8,10,4,0.5,1,4,1,1,40,40,5,4000002,0.951899007406101,10.1595084607032,1.93985801061253,1.40468103606209,1.01146508224207,10.0249727357684,1.80195637351877,1.36837005373494,0.842518576415936,10.2799898533136,2.04411293085813,1.39339756315843,0.95823030421627,10.1874493656194,1.85505973734097,1.37356666841365
800,0.6,10,4,0.5,1,4,0,1,40,40,5,4000002,1.3105551207292,9.64028084918727,1.92781496350666,1.42346432547358,0.948744871465931,10.7929944239046,2.09743627350252,1.36134214925335,2.15411407793737,8.34899334445002,1.08768514520264,1.44273854027516,1.08384770384534,10.4427344992615,2.01173082917705,1.36196809188343
8000,0.6,10,4,0.5,1,4,0,1,40,40,5,4000002,1.10126464011146,9.85643460084247,1.95997663397013,1.40387593919398,1.04687058680217,10.1005386021559,1.96433539938313,1.42942753836327,1.98768084540211,8.3944079742016,1.08197904678013,1.43807587673232,1.2561001136289,9.61454865136447,1.82034026391358,1.4333986099968
800,0.8,10,4,0.5,1,4,0,1,40,40,5,4000002,1.26853545914664,9.40718964616262,2.19133222025556,1.39867776843945,1.56990125700309,8.92759844578715,1.68957657254346,1.48058845668314,2.53669240724853,7.14545220261577,0.69896197742994,1.4766557104884,1.85827675114439,8.06791357056983,1.47587907297373,1.48756951082739
8000,0.8,10,4,0.5,1,4,0,1,40,40,5,4000002,0.951899007406101,10.1595084607032,1.93985801061253,1.40468103606209,1.01146508224207,10.0249727357684,1.80195637351877,1.36837005373494,2.33676212112425,7.44809989650893,0.365183706772392,1.49523057239778,1.42081724975918,8.87696653544407,1.52984615260936,1.37561431071255
