"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
200,0.1,10,1,0.5,1,2,40,40,5,9000001,1.04382047788487,10.1006550825001,1.84411066662194,0.0463039219784038,0.916160609949853,10.3834059337494,1.88935873007836,0.00987091705314502,1.06622361148964,10.0726600770936,1.82203600733394,0.0220637789756813,0.916138029849037,10.3834400569859,1.88934079047901,0.0098617085921672
800,0.1,10,1,0.5,1,2,40,40,5,9000001,0.9787728708564,9.96250887169823,2.08041163569379,-0.00223105262458728,1.0178024498323,9.93073903398876,2.03012303613447,-0.0133379798371711,0.98811353822693,9.95121503146957,2.06890700907787,-0.0172746766992037,1.01763051688164,9.93101979693619,2.03025795772457,-0.0133524391812226
8000,0.1,10,1,0.5,1,2,40,40,5,9000001,1.01387683440223,9.96701646624669,2.01582302830847,-0.00712103208972999,1.02312184183387,9.93244674105174,2.02135487622595,0.00999678062552303,1.02443349212565,9.95481267706024,2.00609977316889,0.00505579639185516,1.02317326372678,9.93236326032238,2.02131812322282,0.0099961243615492
200,0.2,10,1,0.5,1,2,40,40,5,9000001,0.989460674965911,10.0823362759212,1.93067922906683,-0.00366943225669426,0.935413840739694,10.0414751612948,2.00589906282194,0.0182269138623881,0.989750325397571,10.0364405946363,1.95457703870794,-0.00059126196061143,0.935036358039446,10.0421538139283,2.00605227841792,0.0181744124036743
800,0.2,10,1,0.5,1,2,40,40,5,9000001,1.04175027072817,9.89680225166439,1.94805897170616,-0.0258106357580652,1.16721042811878,9.68570663717545,1.85637814506737,-0.0166015618019511,1.09850624183517,9.7941795134446,1.90372792988787,-0.00379495742908459,1.16597976095071,9.68862897319983,1.85696334132469,-0.0164737313458477
8000,0.2,10,1,0.5,1,2,40,40,5,9000001,1.02430153942668,9.95801887090239,1.98778053154471,-0.00410849505426492,1.04494007213198,9.93490267975527,1.96518568947711,-0.00991860253507256,1.03481420811704,9.95489592311648,1.96906046683364,-0.00613580707339246,1.04477576203874,9.93524137193399,1.96530031853789,-0.00990600968889959
200,0.3,10,1,0.5,1,2,40,40,5,9000001,1.04945184512458,10.0325524880698,1.92080692034164,-0.022011583952841,0.945394006721214,10.1112934857073,2.03825082417381,0.00661272483607396,1.06328640929349,9.97021097840298,1.91649390535323,0.00619109006287254,0.946098324962797,10.1109037631748,2.03699887552472,0.00674912615871731
800,0.3,10,1,0.5,1,2,40,40,5,9000001,0.976942584950792,9.98712592492853,1.99299324571855,-0.0486559554071406,0.970664444121891,9.9326340123186,2.00918920312411,-0.0880775259136319,0.918408539838917,10.1183779142775,1.99390138623754,-0.0460846623748107,0.968119378950409,9.93895220545116,2.01033058421309,-0.0881305590875317
8000,0.3,10,1,0.5,1,2,40,40,5,9000001,1.03425261779788,9.91169965572183,2.0143962222376,-0.0056912826629419,1.0829455113594,9.84564085140836,1.97044273751132,-0.01937300124404,1.03650006624066,9.91976671365128,2.004944635665,-0.00988764841391487,1.08204010977695,9.84787706135198,1.97090506676795,-0.0193927405963588
200,0.4,10,1,0.5,1,2,40,40,5,9000001,0.854945546261235,10.161226714165,2.17832151771829,-0.0803362362420407,0.970855984368915,9.85682743976804,2.24865877977386,-0.141103337173855,0.882876542326829,10.1929397379586,2.24494654496806,-0.0775936531728733,0.965638991701853,9.87713530519525,2.24768217350265,-0.141150749612271
