"n","q","specify.x.gamma","specify.c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bcc.B1","Bcc.B2","Bcc.B3","Bml.B1","Bml.B2","Bml.B3","Bsp.B1","Bsp.B2","Bsp.B3"
10000,0.8,1,1,100,15,3,3000001,1.00299250604946,1.99305884045672,0.101837165146458,1.01816383164079,2.18253873700748,0.0560028648104683,1.015900385649,1.94404881995513,0.113602552588644,1.03085413105848,2.07373904862456,0.0535610314197121
10000,0.8,0,1,100,15,3,3000001,1.00299250604946,1.99305884045672,0.101837165146458,1.01816383164079,2.18253873700748,0.0560028648104683,-27.907843117984,697.140918882771,-2.45825262957779,1.08739018617761,2.02194700900959,0.0594164183242756
10000,0.8,1,0,100,15,3,3000001,1.00299250604946,1.99305884045672,0.101837165146458,1.01816383164079,2.18253873700748,0.0560028648104683,1.015900385649,1.94404881995513,0.113602552588644,1.03319745140328,2.05933043532404,0.0527976765193469
10000,0.8,0,0,100,15,3,3000001,1.00299250604946,1.99305884045672,0.101837165146458,1.01816383164079,2.18253873700748,0.0560028648104683,-27.907843117984,697.140918882771,-2.45825262957779,1.0782846742649,2.11501361967932,0.0576836475664516
10000,0.8,1,1,100,15,3,3000002,1.00020707021841,1.97515111707918,0.109900524982844,0.956656310396119,2.87071064598799,0.109583180894494,1.00440362718144,1.96659385750491,0.11111598490872,0.995784069473757,2.29255650592149,0.108776396497471
10000,0.8,0,1,100,15,3,3000002,1.00020707021841,1.97515111707918,0.109900524982844,0.956656310396119,2.87071064598799,0.109583180894494,43.9624589547102,-385.446451977326,-17.1714672262856,0.871684653231602,5.10394870299094,0.11921128675098
10000,0.8,1,0,100,15,3,3000002,1.00020707021841,1.97515111707918,0.109900524982844,0.956656310396119,2.87071064598799,0.109583180894494,1.00440362718144,1.96659385750491,0.11111598490872,0.99561791656473,2.28482411130075,0.107913423342671
10000,0.8,0,0,100,15,3,3000002,1.00020707021841,1.97515111707918,0.109900524982844,0.956656310396119,2.87071064598799,0.109583180894494,43.9624589547102,-385.446451977326,-17.1714672262856,0.866978420773945,5.09283885456117,0.116628873531865
10000,0.8,1,1,100,15,3,3000003,1.00241100535391,2.0083626864039,0.0800853343039038,1.03653010826057,1.7203320399301,0.103392436302328,1.02237939169675,1.92772718971681,0.0910559061379491,1.02820913288037,1.85791074360837,0.104401640193197
10000,0.8,0,1,100,15,3,3000003,1.00241100535391,2.0083626864039,0.0800853343039038,1.03653010826057,1.7203320399301,0.103392436302328,1.07912786270181,0.609965416835475,0.161414294021507,1.06662868994385,2.15576445391031,0.0981688611646781
