"n","q","x.shape","c.shape","mx","mc","seed","Bor1","Bor2","Bcc1","Bcc2","Bml1","Bml2","Bsp1","Bsp2"
10000,0.4,1,1,21,21,1000001,0.980067929674483,2.0614699993297,0.97489938213576,2.15852246692956,0.979152950999474,2.03797162187209,0.97501671769535,2.16958857611909
10000,0.8,1,1,21,21,1000001,0.980067929674483,2.0614699993297,0.955328377001525,2.55125729512807,0.957381743368484,2.01480864725612,1.00321298546446,2.11869312239626
10000,0.4,4,1,21,21,1000001,0.97983468852083,2.11440675344509,0.974046655161641,2.14758517901344,1.04744936852031,1.70015685207779,0.973054871989624,2.15148921411193
10000,0.8,4,1,21,21,1000001,0.97983468852083,2.11440675344509,1.02154308436291,1.9603086944839,1.12754865255293,1.34951992231881,1.04290188256397,1.81649601213382
10000,0.4,1,4,21,21,1000001,1.0111456143117,1.98990722483183,1.01352777532801,1.99670666590548,1.01821051634485,1.95614794061226,1.00964529737111,2.05221502793305
10000,0.8,1,4,21,21,1000001,1.0111456143117,1.98990722483183,1.08141556872879,-0.272551320436499,1.00486447221974,1.96943808083949,1.01888217627048,1.95178852928745
10000,0.4,4,4,21,21,1000001,1.03481637065206,1.86746506203575,1.02098174685154,1.95767339490363,1.1134149972827,1.37323650023204,1.02312174999665,1.9463431567724
10000,0.8,4,4,21,21,1000001,1.03481637065206,1.86746506203575,1.04274285390633,1.87104943996427,1.14403222135515,1.1993421546985,1.0878350845939,1.52001852986639
10000,0.4,1,1,31,31,1000001,0.980067929674483,2.0614699993297,0.97489938213576,2.15852246692956,0.981119260697909,2.05221218824971,0.97497772317394,2.16340182655067
10000,0.8,1,1,31,31,1000001,0.980067929674483,2.0614699993297,0.955328377001525,2.55125729512807,0.970324474390887,2.03702589479339,0.983754320669613,2.18019053888396
10000,0.4,4,1,31,31,1000001,0.97983468852083,2.11440675344509,0.974046655161641,2.14758517901344,1.04576505397902,1.71119750298493,0.973914498806321,2.14787982308463
10000,0.8,4,1,31,31,1000001,0.97983468852083,2.11440675344509,1.02154308436291,1.9603086944839,1.12678732598515,1.36024991452945,1.03721542770473,1.84967483883924
10000,0.4,1,4,31,31,1000001,1.0111456143117,1.98990722483183,1.01352777532801,1.99670666590548,1.01473827136419,1.97661260984142,1.01176183156704,2.02476882375703
10000,0.8,1,4,31,31,1000001,1.0111456143117,1.98990722483183,1.08141556872879,-0.272551320436499,1.01483527879512,1.98034072249259,1.00907741177773,1.93992908719435
10000,0.4,4,4,31,31,1000001,1.03481637065206,1.86746506203575,1.02098174685154,1.95767339490363,1.11158197205277,1.38171819391913,1.02284677247124,1.94666738068206
10000,0.8,4,4,31,31,1000001,1.03481637065206,1.86746506203575,1.04274285390633,1.87104943996427,1.14211974505262,1.20916902807789,1.08173143586795,1.56469373003917
10000,0.4,1,1,21,21,1000002,0.980534501061529,2.05717153198965,0.981605233809221,2.02139099909033,0.966932107770082,2.04038566846942,0.980266988694578,2.05849592099291
10000,0.8,1,1,21,21,1000002,0.980534501061529,2.05717153198965,0.987965170850613,2.11109838989526,0.928006760170281,1.94021694468515,1.06825252014,1.88933054428997
10000,0.4,4,1,21,21,1000002,1.0403370712023,1.91572072955201,0.993300071625029,2.12620843010362,1.10614308413202,1.50651185313729,0.989997855315506,2.13692768749219
10000,0.8,4,1,21,21,1000002,1.0403370712023,1.91572072955201,1.03065471182994,1.93404696857413,1.13416630025159,1.3461258907203,1.04737850684035,1.8048020319844
10000,0.4,1,4,21,21,1000002,0.991011449974505,2.07044589072145,0.973092986297256,2.35120665456124,0.999763957092452,2.01231189649879,0.967602574051834,2.41471303630444
10000,0.8,1,4,21,21,1000002,0.991011449974505,2.07044589072145,0.905241233216827,4.83888136059856,-34.1937425983299,240.005722304165,1.62379275697489,3.24929583997231
10000,0.4,4,4,21,21,1000002,0.993655748205991,2.06950299081134,1.03228544397656,1.90681329317469,1.10069849662228,1.44494845457998,1.03394068779755,1.90076649466843
10000,0.8,4,4,21,21,1000002,0.993655748205991,2.06950299081134,1.03249754425973,1.98056058788533,1.13476075409279,1.2371368711948,1.08934571521306,1.55724846692732
10000,0.4,1,1,31,31,1000002,0.980534501061529,2.05717153198965,0.981605233809221,2.02139099909033,0.970209497562106,2.07139194961779,0.980517466088405,2.0460642005827
10000,0.8,1,1,31,31,1000002,0.980534501061529,2.05717153198965,0.987965170850613,2.11109838989526,0.948257006245058,2.02427582445784,1.0350591028378,2.0176125099663
10000,0.4,4,1,31,31,1000002,1.0403370712023,1.91572072955201,0.993300071625029,2.12620843010362,1.10601025795686,1.5099778441103,0.992207247915698,2.1291096252548
10000,0.8,4,1,31,31,1000002,1.0403370712023,1.91572072955201,1.03065471182994,1.93404696857413,1.13368229521587,1.35504052545388,1.04688656558818,1.81594281647716
10000,0.4,1,4,31,31,1000002,0.991011449974505,2.07044589072145,0.973092986297256,2.35120665456124,0.994237777132032,2.0465846279984,0.97060239963101,2.38656279366505
10000,0.8,1,4,31,31,1000002,0.991011449974505,2.07044589072145,0.905241233216827,4.83888136059856,29.5455052234679,-231.683913187595,1.02542740952668,2.18252009696378
10000,0.4,4,4,31,31,1000002,0.993655748205991,2.06950299081134,1.03228544397656,1.90681329317469,1.098634031926,1.45443137189937,1.03393646904075,1.89872526011121
10000,0.8,4,4,31,31,1000002,0.993655748205991,2.06950299081134,1.03249754425973,1.98056058788533,1.13151177523314,1.25040200560182,1.08132663216237,1.61114865405788
