"n","q","x.shape","c.shape","mx","mc","seed","Bor1","Bor2","Bcc1","Bcc2","Bml1","Bml2","Bsp1","Bsp2"
10000,0.4,1,1,21,21,8000001,0.993101315338672,2.01416261621047,0.993458438440775,2.02980606188717,0.994669284135847,1.96340853546874,0.993986962385937,2.03983752669589
10000,0.8,1,1,21,21,8000001,0.993101315338672,2.01416261621047,0.977926129728138,2.30247995889579,0.985263718938441,1.89794139405935,1.01492076250433,1.98065381177266
10000,0.4,4,1,21,21,8000001,0.996639326654897,2.04312833258012,1.0058132672907,2.06599674815435,1.09751335112502,1.49431095306176,1.00535674684317,2.0685217220405
10000,0.8,4,1,21,21,8000001,0.996639326654897,2.04312833258012,0.990472074719076,2.08259623186338,1.11506944325915,1.35453781609687,1.02415959801039,1.85316970060655
10000,0.4,1,4,21,21,8000001,1.01834309825709,2.01870970498658,1.04786052592345,1.77428340709046,1.03526252748122,1.90677094597984,1.04236359232215,1.84593019786433
10000,0.8,1,4,21,21,8000001,1.01834309825709,2.01870970498658,1.0496424467398,1.80579071618641,1.02494607078713,1.92461584719074,1.06814973318802,1.95551298522129
10000,0.4,4,4,21,21,8000001,1.02713657561086,1.96274893687263,1.00487431736085,2.06696412951246,1.11231894359748,1.4155536735423,1.00607936796229,2.05953891394785
10000,0.8,4,4,21,21,8000001,1.02713657561086,1.96274893687263,0.955638476931502,2.47976539735892,1.1278023229524,1.26961848949205,1.04129119656956,1.81255369531228
10000,0.4,1,1,31,31,8000001,0.993101315338672,2.01416261621047,0.993458438440775,2.02980606188717,0.995796893823106,1.97286752254539,0.993926721681643,2.03351595686887
10000,0.8,1,1,31,31,8000001,0.993101315338672,2.01416261621047,0.977926129728138,2.30247995889579,0.994511061740121,1.92453744785091,0.999370060466486,2.0287536337161
10000,0.4,4,1,31,31,8000001,0.996639326654897,2.04312833258012,1.0058132672907,2.06599674815435,1.09783417983181,1.49673917313953,1.00591985804016,2.06541524631016
10000,0.8,4,1,31,31,8000001,0.996639326654897,2.04312833258012,0.990472074719076,2.08259623186338,1.11494057422697,1.36403626239754,1.01569558421207,1.90330863298343
10000,0.4,1,4,31,31,8000001,1.01834309825709,2.01870970498658,1.04786052592345,1.77428340709046,1.0319759242009,1.92743733481653,1.04410679363045,1.82300293478658
10000,0.8,1,4,31,31,8000001,1.01834309825709,2.01870970498658,1.0496424467398,1.80579071618641,1.0302985685084,1.94351319111317,1.05609858512412,1.96110981134321
10000,0.4,4,4,31,31,8000001,1.02713657561086,1.96274893687263,1.00487431736085,2.06696412951246,1.11142991026057,1.42148024545688,1.00654924478051,2.05646500417507
10000,0.8,4,4,31,31,8000001,1.02713657561086,1.96274893687263,0.955638476931502,2.47976539735892,1.12413510024084,1.28592664582452,1.02848138790895,1.90755052691807
10000,0.4,1,1,21,21,8000002,1.0136311260923,1.87180851507564,1.02509508835469,1.78278886441656,1.01313272747519,1.82438717367506,1.02511270794474,1.79867266135598
10000,0.8,1,1,21,21,8000002,1.0136311260923,1.87180851507564,1.04313418750938,1.41143171096774,0.99057049344686,1.79739650113829,1.06627596472877,1.73400672397121
10000,0.4,4,1,21,21,8000002,1.01106184873891,1.99126922322497,0.9903767640296,2.01661090190905,1.06686869683774,1.59809006044646,0.989554672143838,2.0209961893259
10000,0.8,4,1,21,21,8000002,1.01106184873891,1.99126922322497,0.931481776538157,2.48440243358546,1.11543031684082,1.3484721970921,0.976264526258584,2.15395014783474
10000,0.4,1,4,21,21,8000002,0.988960562721689,1.98909559513876,1.01951640478062,1.77313920625913,0.993464672525475,1.94895582530386,1.01173835563444,1.87646679684328
10000,0.8,1,4,21,21,8000002,0.988960562721689,1.98909559513876,1.07267265542378,0.158885323246535,35.8903042174674,-590.796332688892,1.07807252667482,-0.00110679064229865
10000,0.4,4,4,21,21,8000002,1.00080200069169,1.94865903650068,1.02826837300939,1.81371057005303,1.09824861012777,1.34899345066847,1.02949897746336,1.80865251792509
10000,0.8,4,4,21,21,8000002,1.00080200069169,1.94865903650068,1.08265385119358,1.37347917657018,1.11743670483893,1.20218708837755,1.08924874438515,1.32938660507126
10000,0.4,1,1,31,31,8000002,1.0136311260923,1.87180851507564,1.02509508835469,1.78278886441656,1.01387159929926,1.84037251270197,1.02516662661795,1.79170962227636
