"n","q","x.shape","c.shape","mx","mc","my","seed","Bor1","Bor2","Bcc1","Bcc2","Bml1","Bml2","Bsp1","Bsp2"
10000,0.4,1,1,100,15,2,9000001,1.00886470873099,2.01167675160925,0.9955383079603,2.13494734730422,0.997521038115015,2.05197181710073,0.995735978711079,2.13498814102606
10000,0.8,1,1,100,15,2,9000001,1.00886470873099,2.01167675160925,0.985335774532625,1.70576093406219,0.983483154624381,2.07023753651298,0.96951832869552,2.00296213205969
10000,0.4,4,1,100,15,2,9000001,1.01171688931826,2.00086909411969,1.02847500384956,1.93395621729247,1.09930862211305,1.51732672044723,1.02820450680141,1.93424568882003
10000,0.8,4,1,100,15,2,9000001,1.01171688931826,2.00086909411969,1.07062892583482,1.7780290172782,1.15852026320416,1.24771368882868,1.08084043780988,1.7074571691536
10000,0.4,1,4,100,15,2,9000001,1.00745694847674,2.02056990238226,1.0366649352654,1.81520679273626,1.01775059057511,1.96458319847841,1.03522115388015,1.83348249381698
10000,0.8,1,4,100,15,2,9000001,1.00745694847674,2.02056990238226,1.01864447745814,1.89185596599708,1.01305049934598,1.96086027752787,1.01701105140185,1.96601940922183
10000,0.4,4,4,100,15,2,9000001,1.02118565405004,1.91847864682847,0.985464529984476,2.14249283878238,1.12525150230956,1.32168447499635,0.986165723578132,2.13596179880616
10000,0.8,4,4,100,15,2,9000001,1.02118565405004,1.91847864682847,0.98494506015694,2.3602093944324,1.13067686614683,1.22976720579837,1.02908757582817,2.0124579855547
10000,0.4,1,1,100,15,2,9000002,1.01319829536507,1.98825442380005,1.00814683701033,1.90637637625615,1.01637184305786,1.96346164629217,1.00813016762787,1.90990033879115
10000,0.8,1,1,100,15,2,9000002,1.01319829536507,1.98825442380005,1.00844610593765,2.01039287462105,1.02426835222306,1.94039592884342,1.00736411489783,2.01778612892064
10000,0.4,4,1,100,15,2,9000002,1.02039986074609,1.90889983841173,1.00915444284014,1.9561901732938,1.07783366234729,1.55530208349084,1.00878320846109,1.95690031430939
10000,0.8,4,1,100,15,2,9000002,1.02039986074609,1.90889983841173,0.987545811234645,2.11595887198003,1.13841720758566,1.2882766341116,0.996039933521586,2.04099270943088
10000,0.4,1,4,100,15,2,9000002,1.01989709499528,1.90884243862153,1.01602811956394,1.90695349713828,1.01963711031549,1.91136281608024,1.01583276130792,1.91035202815015
10000,0.8,1,4,100,15,2,9000002,1.01989709499528,1.90884243862153,1.03028070297109,2.18593248640052,1.03206615270052,1.86386693616675,1.04447235082815,1.88080613550959
10000,0.4,4,4,100,15,2,9000002,0.984154823201803,2.09811002372596,0.979032651568285,2.16383502454487,1.07915402961754,1.52834183125892,0.979828018878329,2.15768203479714
10000,0.8,4,4,100,15,2,9000002,0.984154823201803,2.09811002372596,0.919921414903486,2.52212819994839,1.06785107737394,1.47973879740211,0.955716038219522,2.22432295639821
10000,0.4,1,1,100,15,2,9000003,1.00248694209439,2.00798817517017,0.994194951359901,2.01153627029553,0.998869808083573,2.03562503049527,0.994642713990295,2.01292310566128
10000,0.8,1,1,100,15,2,9000003,1.00248694209439,2.00798817517017,0.97392300552682,2.67596327383506,1.00250369878441,2.01617512594052,0.998380006906526,2.21499552017519
10000,0.4,4,1,100,15,2,9000003,0.992163157729894,2.05440052575527,0.980984637493461,2.09633134818086,1.07642214014932,1.59605153958341,0.97963068432199,2.10018390539007
10000,0.8,4,1,100,15,2,9000003,0.992163157729894,2.05440052575527,0.997729795620781,2.00954218605184,1.11758215481071,1.40740998409908,1.00134208088497,1.96707462556284
10000,0.4,1,4,100,15,2,9000003,0.993946061513315,2.02275906655527,0.970839847105061,2.14825834913004,0.987345966827037,2.05838495313554,0.971036521326314,2.14588829839265
10000,0.8,1,4,100,15,2,9000003,0.993946061513315,2.02275906655527,0.946785680534705,2.85844136846461,0.990539037862774,2.05430113644099,0.967266361256429,2.16821740438412
10000,0.4,4,4,100,15,2,9000003,0.995319003830599,2.04507159525158,1.02259518898023,1.88337496158323,1.08779686495366,1.49928277649938,1.02287029770627,1.88063042265046
10000,0.8,4,4,100,15,2,9000003,0.995319003830599,2.04507159525158,0.989121380158399,2.19767406653824,1.13992785720985,1.23932780599789,1.01649980564088,1.96719776027504
10000,0.4,1,1,100,15,2,9000004,1.00093764977423,2.00693743830931,1.01460216032427,1.94008099666106,1.00478476821818,1.98953361444763,1.01454157171726,1.94515201334327
10000,0.8,1,1,100,15,2,9000004,1.00093764977423,2.00693743830931,1.01378597795971,2.36015465273691,1.01157947102651,1.95163523888311,1.0365445220763,2.05301201951501
10000,0.4,4,1,100,15,2,9000004,1.00734333968803,1.96826818723259,1.00900235923808,1.91346881731022,1.07089201193893,1.58336743397271,1.0081999510424,1.91578507480002
10000,0.8,4,1,100,15,2,9000004,1.00734333968803,1.96826818723259,1.08252322924354,1.53135603041743,1.17072780553799,1.17364082234122,1.08143215067334,1.52687340824042
10000,0.4,1,4,100,15,2,9000004,0.990247889224637,2.04581744661808,1.00724874674394,1.94537840673479,0.996256994648489,2.01198368612787,1.00600944125522,1.96230471733074
10000,0.8,1,4,100,15,2,9000004,0.990247889224637,2.04581744661808,1.00764349913219,2.26848747119468,0.995282272086093,2.01225687062671,1.02213217649132,2.0404552326384
10000,0.4,4,4,100,15,2,9000004,1.01613771025351,1.93279477800802,1.0332281112266,1.83283119953434,1.09632103575463,1.4337825379552,1.03350092345083,1.8301407416956
10000,0.8,4,4,100,15,2,9000004,1.01613771025351,1.93279477800802,1.05084261711877,1.65214682778109,1.1145208754194,1.30101545714296,1.05946155300424,1.58029132939415
10000,0.4,1,1,100,15,2,9000005,0.995506470136891,2.02689541101946,0.978913492994627,2.14731145718774,0.995370194226491,2.02313573878959,0.978883623671472,2.14770111682139
10000,0.8,1,1,100,15,2,9000005,0.995506470136891,2.02689541101946,0.972825928269178,1.96022049123735,0.997786239495027,1.99727401148282,0.965597210153083,2.03051256055435
10000,0.4,4,1,100,15,2,9000005,1.01824908211254,1.92992940340028,1.02477203089986,1.87954364592869,1.08273292688985,1.52070882376138,1.02436536651807,1.88030091519286
10000,0.8,4,1,100,15,2,9000005,1.01824908211254,1.92992940340028,1.14027105179669,1.27635059653395,1.15127269184364,1.22019150943607,1.14113093602334,1.27244658578475
10000,0.4,1,4,100,15,2,9000005,1.01285619780168,2.01455267525506,0.989547637533938,2.14598055314353,1.00566153176673,2.03571348760593,0.99054370548335,2.13718640761998
10000,0.8,1,4,100,15,2,9000005,1.01285619780168,2.01455267525506,0.980904584302197,2.42418658517631,1.01416461259608,1.99352662611465,0.990568138597493,2.04187681471765
