"n","q","x.shape","c.shape","mx","mc","my","seed","Bor1","Bor2","Bor3","Bcc1","Bcc2","Bcc3","Bml1","Bml2","Bml3","Bsp1","Bsp2","Bsp3"
10000,0.4,1,1,100,15,2,4000001,0.996972873593731,2.02198737479066,-0.208287150143499,1.01461584621046,1.93891220911304,-0.208666618708871,1.00507688875242,1.98242152399684,-0.199721106007594,1.01470586452422,1.94226275502848,-0.20872606978593
10000,0.8,1,1,100,15,2,4000001,0.996972873593731,2.02198737479066,-0.208287150143499,1.01445881827082,2.00198953920174,-0.241914089828774,0.998849400216989,1.99926606836363,-0.203968173556029,1.02249114277015,2.03253275065092,-0.243780202892338
10000,0.4,4,1,100,15,2,4000001,1.00631206231664,2.0108138446729,-0.221729856848212,1.03078377836962,1.90836363282215,-0.234782543892676,1.0996272911651,1.4987732522773,-0.231091536916645,1.03014630790839,1.90992747853816,-0.234784072887584
10000,0.8,4,1,100,15,2,4000001,1.00631206231664,2.0108138446729,-0.221729856848212,1.05125539342872,1.96659548390418,-0.244072341371199,1.16382540204393,1.20613164554714,-0.221396287132641,1.0654065578672,1.86807443171799,-0.243462186284125
10000,0.4,1,4,100,15,2,4000001,1.0124731671216,1.9808381826164,-0.219209427850111,1.00169201442816,2.14805551625351,-0.215322400024871,1.01586217154616,1.96439880091042,-0.216343582196219,1.00178055949454,2.14731543279045,-0.215287004934459
10000,0.8,1,4,100,15,2,4000001,1.0124731671216,1.9808381826164,-0.219209427850111,0.99978545894071,1.90809555823382,-0.239233499935149,1.00493217594346,2.00940160671071,-0.229307785206973,0.996598001017998,2.03141562865185,-0.240461050883294
10000,0.4,4,4,100,15,2,4000001,1.0142100870058,1.95097650385718,-0.204730886001157,1.00396546331045,2.02219672760322,-0.206387577578496,1.11244861910389,1.36389977321984,-0.21081586064179,1.00494617755987,2.01509413857059,-0.206311529699076
10000,0.8,4,4,100,15,2,4000001,1.0142100870058,1.95097650385718,-0.204730886001157,1.01583559454954,1.93819318295004,-0.184215742578567,1.11376616263921,1.26990044669188,-0.218245416018041,1.03978224243556,1.7388489557299,-0.182505019006283
10000,0.4,1,1,100,15,2,4000002,1.01327672387674,1.96644677220336,-0.199355250066826,1.02743462022021,1.9299933228622,-0.209628854097446,1.01656281377016,1.94966024577449,-0.199945600251286,1.02768686006965,1.93137131389686,-0.209698505032576
10000,0.8,1,1,100,15,2,4000002,1.01327672387674,1.96644677220336,-0.199355250066826,1.0810903464392,0.943506979010916,-0.193046592556668,1.02865058791119,1.91032328986784,-0.186247073216394,1.04893646782888,1.64239219294935,-0.191897194304581
10000,0.4,4,1,100,15,2,4000002,0.990334293526556,2.05275457794257,-0.225700810175247,0.991921878648163,2.04174496445009,-0.23391937635654,1.07965682031104,1.53955240279769,-0.240541896397833,0.991385627121462,2.04293108453885,-0.23383131619866
10000,0.8,4,1,100,15,2,4000002,0.990334293526556,2.05275457794257,-0.225700810175247,0.98952112508847,2.01112331409827,-0.218123232066975,1.12176691672953,1.31546092806809,-0.243150527280255,0.995197316371978,1.95109685220251,-0.216786568045892
10000,0.4,1,4,100,15,2,4000002,1.0037410138102,1.9953466511569,-0.226270842722658,1.00970694613355,1.84244720117124,-0.222386505031306,0.999739637519629,2.00394338939522,-0.232549372980525,1.00885784760726,1.85415144674612,-0.222361557334436
10000,0.8,1,4,100,15,2,4000002,1.0037410138102,1.9953466511569,-0.226270842722658,1.0180439889445,1.58503587663681,-0.198844447565931,1.02208670994528,1.93716196183145,-0.210919715465324,1.00336552297558,1.91389860400021,-0.199507678554415
10000,0.4,4,4,100,15,2,4000002,1.01533637428917,1.92799728851413,-0.206448872382144,1.02252895009054,1.89702537086234,-0.206569083210784,1.10999720301986,1.34841257722962,-0.216776380385959,1.02325328595669,1.89187936583942,-0.206488355625197
10000,0.8,4,4,100,15,2,4000002,1.01533637428917,1.92799728851413,-0.206448872382144,0.998318550184923,2.03423873176032,-0.213273543987451,1.10944206020631,1.25222261461857,-0.225721362059606,1.02729904304887,1.80145713143044,-0.212217150445806
10000,0.4,1,1,100,15,2,4000003,1.00235611101674,1.99214863982744,-0.214828971298803,0.995208788200644,2.02075066800508,-0.214463137856147,1.00097889395097,1.98842906654585,-0.219403895704734,0.995310215758014,2.02145023793641,-0.21444623512449
10000,0.8,1,1,100,15,2,4000003,1.00235611101674,1.99214863982744,-0.214828971298803,1.00264914314188,1.83381842763396,-0.1654916271992,1.00757043360771,1.95702694489783,-0.210952539106299,0.993862970325983,1.92180770945713,-0.163749743902084
10000,0.4,4,1,100,15,2,4000003,0.995845676683897,2.00705777690705,-0.221230946285276,0.968799192458252,2.12970503834067,-0.22546736871843,1.0466434914307,1.68657521944449,-0.238852386921675,0.968034645526325,2.13179879087506,-0.225413179320794
10000,0.8,4,1,100,15,2,4000003,0.995845676683897,2.00705777690705,-0.221230946285276,1.02170700872429,1.63958319446118,-0.195159431028727,1.08901102951519,1.48959340015246,-0.243353790687201,1.01414406168135,1.67023802966687,-0.194703165323516
10000,0.4,1,4,100,15,2,4000003,1.00225987580731,1.97601676544063,-0.208810974431457,0.978143549056294,2.17693993674556,-0.207226410760026,1.00075388879778,1.97529996662782,-0.211057628504798,0.979106721710924,2.16742584530904,-0.207344516807874
10000,0.8,1,4,100,15,2,4000003,1.00225987580731,1.97601676544063,-0.208810974431457,1.01143656176903,1.22661776398683,-0.183298435358157,1.01615571565754,1.91768160519743,-0.195347081354219,0.984770230902563,1.85663560532804,-0.184745432665758
