"n","q","B2","s2","x.mean.scale","x.shape","c.shape","specify.x.gamma","specify.c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000001,1.01036883546536,0.459339011169222,-0.994511200388069,-0.236101994494247,0.991354045234267,0.511292873709818,-1.01033982413247,-0.21566724915303,0.995489677305774,0.482159512776809,-0.986816615298516,-0.242790496729582,0.993525270958078,0.502783531226862,-1.00797227307805,-0.21548766695353
4000,0.7,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000001,1.01036883546536,0.459339011169222,-0.994511200388069,-0.23610199449485,0.95529866993158,0.598881929600216,-0.973385507684594,-0.193122493767371,1.00312612282982,0.484091297527038,-0.999910356248212,-0.240571658466468,0.969592623776894,0.506523579719094,-0.954489871622879,-0.192162092683936
4000,0.5,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000001,1.01036883546536,0.459339011169222,-0.994511200388069,-0.236101994494247,0.991354045234267,0.511292873709818,-1.01033982413247,-0.21566724915303,1.00190814336151,0.434833868541094,-0.97853502382483,-0.249318657397405,0.996377240451273,0.492577233162159,-1.00576624469625,-0.21538129895474
4000,0.7,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000001,1.01036883546536,0.459339011169222,-0.994511200388069,-0.23610199449485,0.95529866993158,0.598881929600216,-0.973385507684594,-0.193122493767371,1.01079074635135,0.401385391312604,-0.986118527089108,-0.246464576805103,0.982317282124412,0.439287560546793,-0.944189922615029,-0.190830932785855
4000,0.5,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000001,1.01036883546536,0.459339011169222,-0.994511200388069,-0.236101994494247,0.991354045234267,0.511292873709818,-1.01033982413247,-0.21566724915303,0.995489677305774,0.482159512776809,-0.986816615298516,-0.242790496729582,0.993404524150465,0.504421200959309,-1.00763733104453,-0.215297265396308
4000,0.7,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000001,1.01036883546536,0.459339011169222,-0.994511200388069,-0.23610199449485,0.95529866993158,0.598881929600216,-0.973385507684594,-0.193122493767371,1.00312612282982,0.484091297527038,-0.999910356248212,-0.240571658466468,0.969701289033002,0.506715840206248,-0.952954585468677,-0.192215168438562
4000,0.5,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000001,1.01036883546536,0.459339011169222,-0.994511200388069,-0.236101994494247,0.991354045234267,0.511292873709818,-1.01033982413247,-0.21566724915303,1.00190814336151,0.434833868541094,-0.97853502382483,-0.249318657397405,0.996752315985447,0.491843675757332,-1.00503083599156,-0.215120806555188
4000,0.7,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000001,1.01036883546536,0.459339011169222,-0.994511200388069,-0.23610199449485,0.95529866993158,0.598881929600216,-0.973385507684594,-0.193122493767371,1.01079074635135,0.401385391312604,-0.986118527089108,-0.246464576805103,0.982843900126505,0.436656519580073,-0.942456098288512,-0.190685411638923
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000002,1.02664918269009,0.463198191291651,-0.981296402197591,-0.211578647581101,1.01450796639173,0.436881540202991,-0.934421789801797,-0.228521266368234,1.03051814658297,0.456680590907422,-0.964820767926039,-0.198276604370227,1.01385524860556,0.440469639571377,-0.934948619033698,-0.228544780526965
4000,0.7,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000002,1.02664918269009,0.463198191291651,-0.981296402197591,-0.211578647581132,1.01881993751561,0.451582292303909,-0.938306656332796,-0.226934317302837,1.04676668040265,0.432785829253368,-0.957490206165142,-0.187595917214597,1.02175205007256,0.442685233251712,-0.936140835749656,-0.227130882289796
4000,0.5,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000002,1.02664918269009,0.463198191291651,-0.981296402197591,-0.211578647581101,1.01450796639173,0.436881540202991,-0.934421789801797,-0.228521266368234,1.03807823047276,0.409892011653616,-0.956135296793274,-0.203857374798576,1.01603878890233,0.432485757811866,-0.93287809975611,-0.228531276731721
4000,0.7,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000002,1.02664918269009,0.463198191291651,-0.981296402197591,-0.211578647581132,1.01881993751561,0.451582292303909,-0.938306656332796,-0.226934317302837,1.05048199432125,0.364672742689148,-0.942665784029161,-0.193762158853993,1.03108075783524,0.391653445764203,-0.927322452170603,-0.226694582702332
4000,0.5,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000002,1.02664918269009,0.463198191291651,-0.981296402197591,-0.211578647581101,1.01450796639173,0.436881540202991,-0.934421789801797,-0.228521266368234,1.03051814658297,0.456680590907422,-0.964820767926039,-0.198276604370227,1.01367840108141,0.443099442943723,-0.934431295995253,-0.228474439634729
4000,0.7,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000002,1.02664918269009,0.463198191291651,-0.981296402197591,-0.211578647581132,1.01881993751561,0.451582292303909,-0.938306656332796,-0.226934317302837,1.04676668040265,0.432785829253368,-0.957490206165142,-0.187595917214597,1.02200863784312,0.446410748110097,-0.934781975310213,-0.227435022096003
4000,0.5,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000002,1.02664918269009,0.463198191291651,-0.981296402197591,-0.211578647581101,1.01450796639173,0.436881540202991,-0.934421789801797,-0.228521266368234,1.03807823047276,0.409892011653616,-0.956135296793274,-0.203857374798576,1.01644880849928,0.432656090568148,-0.932045062704124,-0.228448105099057
4000,0.7,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000002,1.02664918269009,0.463198191291651,-0.981296402197591,-0.211578647581132,1.01881993751561,0.451582292303909,-0.938306656332796,-0.226934317302837,1.05048199432125,0.364672742689148,-0.942665784029161,-0.193762158853993,1.03171670523153,0.392357015644755,-0.925880826117632,-0.226866515998758
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000003,1.01576514505913,0.505248071575374,-0.999600190746559,-0.173647455711322,0.997616487183946,0.456504711508649,-0.951871978088384,-0.182759096615392,1.00199968386168,0.515643314729505,-0.993501597303237,-0.177144385743185,0.994708023615094,0.467864442491272,-0.953991657803206,-0.182547071995471
4000,0.7,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000003,1.01576514505913,0.505248071575374,-0.999600190746559,-0.173647455717914,1.00079413922734,0.495225081699373,-0.994677066426788,-0.179248781219107,1.0061720351319,0.509733086633073,-1.00105126403613,-0.178916333519049,0.996257498785947,0.517567537152249,-0.995738760217215,-0.180766130810575
4000,0.5,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000003,1.01576514505913,0.505248071575374,-0.999600190746559,-0.173647455711322,0.997616487183946,0.456504711508649,-0.951871978088384,-0.182759096615392,0.998222143599164,0.475185188839146,-0.975617906431738,-0.187541771122576,0.996415961199468,0.461231447138252,-0.952274321979191,-0.182718979744854
4000,0.7,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000003,1.01576514505913,0.505248071575374,-0.999600190746559,-0.173647455717914,1.00079413922734,0.495225081699373,-0.994677066426788,-0.179248781219107,0.99463431503914,0.4472803022495,-0.972074549350128,-0.191498264577748,1.00594459312779,0.469725525584027,-0.988357609416926,-0.180357919630334
4000,0.5,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000003,1.01576514505913,0.505248071575374,-0.999600190746559,-0.173647455711322,0.997616487183946,0.456504711508649,-0.951871978088384,-0.182759096615392,1.00199968386168,0.515643314729505,-0.993501597303237,-0.177144385743185,0.994603463114188,0.471580375833671,-0.95439624104786,-0.182165276926958
4000,0.7,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000003,1.01576514505913,0.505248071575374,-0.999600190746559,-0.173647455717914,1.00079413922734,0.495225081699373,-0.994677066426788,-0.179248781219107,1.0061720351319,0.509733086633073,-1.00105126403613,-0.178916333519049,0.996010820402973,0.5202665974058,-0.994591701315625,-0.180929124953089
4000,0.5,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000003,1.01576514505913,0.505248071575374,-0.999600190746559,-0.173647455711322,0.997616487183946,0.456504711508649,-0.951871978088384,-0.182759096615392,0.998222143599164,0.475185188839146,-0.975617906431738,-0.187541771122576,0.99649882633814,0.463263430333646,-0.95227569054695,-0.182411409575637
4000,0.7,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000003,1.01576514505913,0.505248071575374,-0.999600190746559,-0.173647455717914,1.00079413922734,0.495225081699373,-0.994677066426788,-0.179248781219107,0.99463431503914,0.4472803022495,-0.972074549350128,-0.191498264577748,1.00599432277918,0.470032981843757,-0.986984531622977,-0.180474956939975
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000004,0.974865407288295,0.518066062372052,-1.00556502947418,-0.201733302133696,0.987967140962339,0.485554609892022,-1.01309265877442,-0.209814015785017,0.975333678026919,0.510314315998847,-1.01147832547801,-0.204142543097623,0.986318345783947,0.495072022709073,-1.01502805923148,-0.209968683740634
4000,0.7,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000004,0.974865407288295,0.518066062372052,-1.00556502947418,-0.201733302133844,0.995893277199294,0.528997778030156,-1.01812993659952,-0.192648625336253,0.980572809051572,0.496356339088935,-1.01189341830625,-0.201706525350562,0.999914167285458,0.517868497255719,-1.01109895828066,-0.193794430593424
4000,0.5,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000004,0.974865407288295,0.518066062372052,-1.00556502947418,-0.201733302133696,0.987967140962339,0.485554609892022,-1.01309265877442,-0.209814015785017,0.980045317967129,0.463079361045953,-0.999186276576646,-0.213173263135528,0.989283816278118,0.483107842479172,-1.01182601277448,-0.209973271243877
4000,0.7,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000004,0.974865407288295,0.518066062372052,-1.00556502947418,-0.201733302133844,0.995893277199294,0.528997778030156,-1.01812993659952,-0.192648625336253,0.978790004191582,0.426444014280622,-0.988298233373147,-0.21156667050641,1.01054162438412,0.455296745483913,-1.0018850733429,-0.193145498646965
4000,0.5,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000004,0.974865407288295,0.518066062372052,-1.00556502947418,-0.201733302133696,0.987967140962339,0.485554609892022,-1.01309265877442,-0.209814015785017,0.975333678026919,0.510314315998847,-1.01147832547801,-0.204142543097623,0.986970751410329,0.499856005333247,-1.01645738804751,-0.209751289387913
4000,0.7,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000004,0.974865407288295,0.518066062372052,-1.00556502947418,-0.201733302133844,0.995893277199294,0.528997778030156,-1.01812993659952,-0.192648625336253,0.980572809051572,0.496356339088935,-1.01189341830625,-0.201706525350562,1.00230921396215,0.517990644386822,-1.01027032023717,-0.193826555572922
4000,0.5,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000004,0.974865407288295,0.518066062372052,-1.00556502947418,-0.201733302133696,0.987967140962339,0.485554609892022,-1.01309265877442,-0.209814015785017,0.980045317967129,0.463079361045953,-0.999186276576646,-0.213173263135528,0.99005521575449,0.48533476040019,-1.01245235117777,-0.209816765171518
4000,0.7,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000004,0.974865407288295,0.518066062372052,-1.00556502947418,-0.201733302133844,0.995893277199294,0.528997778030156,-1.01812993659952,-0.192648625336253,0.978790004191582,0.426444014280622,-0.988298233373147,-0.21156667050641,1.0126106095302,0.453601527075469,-1.00075294980353,-0.193128437525018
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000005,1.00986671480386,0.495168061345436,-0.979296163336617,-0.210542200359299,1.00078391462866,0.489040266722034,-0.96778896127657,-0.230552997095781,0.996782257552865,0.507386458600056,-0.968257839354797,-0.212103680333063,0.999903508635074,0.49369089835048,-0.96863886399726,-0.230633884533354
