"n","q","B2","s2","x.mean.scale","x.shape","c.shape","specify.x.gamma","specify.c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,5000001,1.01414229213058,0.470122700906991,-1.0169905553633,-0.17272890341605,1.02134075259286,0.457592752734161,-1.03134727909543,-0.205754884223361,0.999501900987226,0.501251371443304,-1.02119576313436,-0.180449861581505,1.01899890216294,0.468646525094311,-1.03361489434796,-0.206033521388488
4000,0.7,0.5,0.81,1,1.25,1.25,1,1,50,15,3,5000001,1.01414229213058,0.470122700906991,-1.0169905553633,-0.172728903413756,1.08548045937248,0.485731258712531,-1.10594544945758,-0.235321734550268,1.0321263598071,0.461791853541259,-1.035267549232,-0.166813261667146,1.08984624384835,0.500607741831048,-1.10899369721511,-0.237913814061804
4000,0.5,0.5,0.81,1,1.25,1.25,0,1,50,15,3,5000001,1.01414229213058,0.470122700906991,-1.0169905553633,-0.17272890341605,1.02134075259286,0.457592752734161,-1.03134727909543,-0.205754884223361,1.00544966425054,0.443851337255156,-1.00543952413613,-0.190121495031701,1.02271588139696,0.455237399358343,-1.03055911776429,-0.206077097856353
4000,0.7,0.5,0.81,1,1.25,1.25,0,1,50,15,3,5000001,1.01414229213058,0.470122700906991,-1.0169905553633,-0.172728903413756,1.08548045937248,0.485731258712531,-1.10594544945758,-0.235321734550268,1.03041736097742,0.382564498116854,-1.00864121732596,-0.176344686221065,1.10378329409025,0.428856876833438,-1.10090250218825,-0.237187681303778
4000,0.5,0.5,0.81,1,1.25,1.25,1,0,50,15,3,5000001,1.01414229213058,0.470122700906991,-1.0169905553633,-0.17272890341605,1.02134075259286,0.457592752734161,-1.03134727909543,-0.205754884223361,0.999501900987226,0.501251371443304,-1.02119576313436,-0.180449861581505,1.01844307762261,0.47424944590157,-1.03372406082913,-0.20601822076006
4000,0.7,0.5,0.81,1,1.25,1.25,1,0,50,15,3,5000001,1.01414229213058,0.470122700906991,-1.0169905553633,-0.172728903413756,1.08548045937248,0.485731258712531,-1.10594544945758,-0.235321734550268,1.0321263598071,0.461791853541259,-1.035267549232,-0.166813261667146,1.0911509343227,0.50241878703348,-1.1066003341778,-0.238867460214766
4000,0.5,0.5,0.81,1,1.25,1.25,0,0,50,15,3,5000001,1.01414229213058,0.470122700906991,-1.0169905553633,-0.17272890341605,1.02134075259286,0.457592752734161,-1.03134727909543,-0.205754884223361,1.00544966425054,0.443851337255156,-1.00543952413613,-0.190121495031701,1.02267082958586,0.458160690006637,-1.03036825132976,-0.206119400628131
4000,0.7,0.5,0.81,1,1.25,1.25,0,0,50,15,3,5000001,1.01414229213058,0.470122700906991,-1.0169905553633,-0.172728903413756,1.08548045937248,0.485731258712531,-1.10594544945758,-0.235321734550268,1.03041736097742,0.382564498116854,-1.00864121732596,-0.176344686221065,1.10529047464575,0.428787462076419,-1.09902963025949,-0.237935726630422
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,5000002,1.02678819572575,0.501118413722329,-1.00297221745835,-0.240520484417042,1.03363096598135,0.456965069780547,-0.974243715920348,-0.257938554138409,1.02371780138352,0.496940218400876,-0.985739369262791,-0.225466878277372,1.03198134067338,0.466135019005889,-0.97680542952944,-0.258149475311194
4000,0.7,0.5,0.81,1,1.25,1.25,1,1,50,15,3,5000002,1.02678819572575,0.501118413722329,-1.00297221745835,-0.240520484417419,1.01691900039607,0.413651347285422,-0.951792363513599,-0.273991501341079,1.03791513331648,0.496217005662284,-1.0089979330072,-0.227889387412837,1.00605586577975,0.484037761408978,-0.963240394374507,-0.275085244655516
4000,0.5,0.5,0.81,1,1.25,1.25,0,1,50,15,3,5000002,1.02678819572575,0.501118413722329,-1.00297221745835,-0.240520484417042,1.03363096598135,0.456965069780547,-0.974243715920348,-0.257938554138409,1.02553644456354,0.449684788537028,-0.970994878437985,-0.234715929704886,1.03378568939779,0.459270885703891,-0.974938227455746,-0.258196961444336
4000,0.7,0.5,0.81,1,1.25,1.25,0,1,50,15,3,5000002,1.02678819572575,0.501118413722329,-1.00297221745835,-0.240520484417419,1.01691900039607,0.413651347285422,-0.951792363513599,-0.273991501341079,1.02927995362827,0.425968555405777,-0.98196340744014,-0.241230016874226,1.01488807769896,0.434540825859095,-0.954823131828514,-0.275130997986566
4000,0.5,0.5,0.81,1,1.25,1.25,1,0,50,15,3,5000002,1.02678819572575,0.501118413722329,-1.00297221745835,-0.240520484417042,1.03363096598135,0.456965069780547,-0.974243715920348,-0.257938554138409,1.02371780138352,0.496940218400876,-0.985739369262791,-0.225466878277372,1.0315914195985,0.469917632434553,-0.976849223667894,-0.258087102569592
4000,0.7,0.5,0.81,1,1.25,1.25,1,0,50,15,3,5000002,1.02678819572575,0.501118413722329,-1.00297221745835,-0.240520484417419,1.01691900039607,0.413651347285422,-0.951792363513599,-0.273991501341079,1.03791513331648,0.496217005662284,-1.0089979330072,-0.227889387412837,1.00641576635134,0.489145803242246,-0.962737512465594,-0.275250366449888
4000,0.5,0.5,0.81,1,1.25,1.25,0,0,50,15,3,5000002,1.02678819572575,0.501118413722329,-1.00297221745835,-0.240520484417042,1.03363096598135,0.456965069780547,-0.974243715920348,-0.257938554138409,1.02553644456354,0.449684788537028,-0.970994878437985,-0.234715929704886,1.0338349799996,0.460849856796707,-0.974568776735148,-0.258168494677644
4000,0.7,0.5,0.81,1,1.25,1.25,0,0,50,15,3,5000002,1.02678819572575,0.501118413722329,-1.00297221745835,-0.240520484417419,1.01691900039607,0.413651347285422,-0.951792363513599,-0.273991501341079,1.02927995362827,0.425968555405777,-0.98196340744014,-0.241230016874226,1.01536719778508,0.436650351053195,-0.953915896690651,-0.275278234588426
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,5000003,1.01391599603639,0.47764486302969,-0.979766770701775,-0.214285076500846,0.993781013223442,0.531490800097372,-1.00463027989913,-0.287510026126269,1.00208436925753,0.505150399874486,-1.00862175049044,-0.238388940264012,0.9941898675747,0.532083167825259,-1.00433496420136,-0.287812140853883
4000,0.7,0.5,0.81,1,1.25,1.25,1,1,50,15,3,5000003,1.01391599603639,0.47764486302969,-0.979766770701775,-0.214285076455453,0.988073437081336,0.41998934151851,-0.965882438534335,-0.293116599613413,0.994821614094972,0.533273898381963,-1.01907181208032,-0.244933310431268,0.973381708393584,0.50981227308154,-0.978372031591564,-0.294660550718037
4000,0.5,0.5,0.81,1,1.25,1.25,0,1,50,15,3,5000003,1.01391599603639,0.47764486302969,-0.979766770701775,-0.214285076500846,0.993781013223442,0.531490800097372,-1.00463027989913,-0.287510026126269,1.00261414762783,0.463777285293957,-0.993243746358293,-0.245283818573749,0.996246964171806,0.524312546744035,-1.00238831880892,-0.287781761835414
4000,0.7,0.5,0.81,1,1.25,1.25,0,1,50,15,3,5000003,1.01391599603639,0.47764486302969,-0.979766770701775,-0.214285076455453,0.988073437081336,0.41998934151851,-0.965882438534335,-0.293116599613413,0.992019041910641,0.455389362958063,-0.995053882895335,-0.25670786486331,0.982952433862248,0.454934956153286,-0.969230008321524,-0.294657584773712
