"n","q","m.knots","seed","B.sp.22.B1","B.sp.22.B2","B.sp.22.B3","B.sp.22.B4","V.sp.221","V.sp.222","V.sp.223","V.sp.224","time.xz.nonpar","time.cz.nonpar","time.est.sp","time.var.sp"
8000,0.8,50,5000065,0.942083951038905,10.0098946312333,2.13492143577746,-0.00289670672501874,0.0741036801399648,0.16817421380576,0.0623292341400684,0.0358033021273648,82.6529986858368,60.9306356906891,56.5933258533478,15.4778647422791
8000,0.8,75,5000065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8000,0.8,1,5000066,0.830244854826486,10.4343814208162,2.1394688153328,0.0017572381233134,0.0718333085248819,0.151363816418123,0.0608301832535906,0.0362068904459935,5.67144799232483,0.373401403427124,46.4779007434845,15.5237619876862
8000,0.8,5,5000066,0.86237958081432,10.3275462185239,2.11925384682619,0.00268205000184034,0.0738701358285619,0.159874219122706,0.0619154589168402,0.0363501601408207,16.2052686214447,9.65310144424438,56.8929133415222,15.5579190254211
8000,0.8,25,5000066,0.843905415721218,10.3883501069283,2.12812027098382,0.00197806920168773,0.0727806620491153,0.153984918230706,0.0617538991496126,0.0363112678926963,49.182874917984,34.3632593154907,56.7315037250519,15.5043749809265
8000,0.8,50,5000066,0.839482272548776,10.395658613294,2.13185276529662,0.00214963372163939,0.0717257921752239,0.151567035659867,0.0608725267248111,0.036313596441434,77.7691423892975,44.2684731483459,46.4846119880676,15.4980630874634
8000,0.8,75,5000066,0.846281165054885,10.3702215496053,2.13070251463579,0.00229173265564651,0.0736362922790062,0.157170482706063,0.0622468956439775,0.0363132538415034,64.9324557781219,7.0714898109436,59.788991689682,16.3387169837952
8000,0.8,1,5000067,0.97043789228524,10.0862924551539,2.04302124544931,0.0396878127242492,0.0717439350923336,0.14907649156613,0.0621999864671877,0.035137984300748,0.565941095352173,0.428174495697021,56.5144262313843,15.4668796062469
8000,0.8,5,5000067,1.0090887553655,9.94306894608624,2.02266027336564,0.0404790723895098,0.0734224738350229,0.158021632543961,0.0629282316498443,0.0353106535142287,16.5455186367035,8.36383271217346,56.4763915538788,15.4539668560028
8000,0.8,25,5000067,1.01527180914121,9.91118633100413,2.02388961910712,0.0414413219727973,0.0735246052576604,0.161364451778576,0.0623943854665343,0.0353668673662122,49.0951161384583,52.8189828395844,56.5760138034821,15.4278230667114
8000,0.8,50,5000067,0.982543490282958,10.0009926076677,2.05083001130657,0.0418713442366461,0.0715019965585063,0.154431043299654,0.0609138744447046,0.0353421871719937,76.5829141139984,47.3479852676392,46.4229536056519,15.5496702194214
8000,0.8,75,5000067,0.86225438555396,10.3838497383957,2.09428676280388,0.0300005640107154,0.10957515091245,0.279733376319102,0.0764012850138826,0.034716313919839,33.0778663158417,8.96479797363281,62.7013230323792,16.5121252536774
8000,0.8,1,5000068,0.919506679355622,10.233920229529,2.02387965637847,0.0243651387986495,0.0682427310996578,0.147158919100118,0.0608223439554458,0.032852398666612,0.765732288360596,0.288051843643188,56.5136969089508,15.3757119178772
8000,0.8,5,5000068,0.969146612205327,10.0522776714184,1.99322085248375,0.0259587799231918,0.0717074604280404,0.163647674702067,0.0626551022490734,0.0331100875205383,16.5468378067017,6.03450703620911,56.3987741470337,15.4908208847046
8000,0.8,25,5000068,0.927395524055959,10.1924596419121,2.01490232485593,0.0245877152212375,0.0681764764364979,0.147770812553976,0.061086282867719,0.0329780118650286,37.2040867805481,23.0795753002167,46.32728099823,15.4570353031158
8000,0.8,50,5000068,0.937004718807724,10.1550112654634,2.0109065497782,0.0251522730990246,0.068400714726016,0.149848257372365,0.0610243747351429,0.0330302260369726,68.2641046047211,46.1011109352112,46.3842716217041,15.5282797813416
8000,0.8,75,5000068,0.901821461725745,10.3799225580883,2.01542536522675,0.0256978428481438,0.0699805858184949,0.144360816550572,0.0632715133386786,0.0325567897169437,35.0165350437164,8.72026896476746,59.2545738220215,16.152131319046
8000,0.8,1,5000069,1.01254168727877,10.0247729627545,1.96435542782924,0.0324570763520905,0.068263110808743,0.138818671929971,0.0605259364610518,0.0353738423588796,0.777146100997925,0.369947671890259,56.7674579620361,15.4898483753204
8000,0.8,5,5000069,1.06010155585058,9.834216065962,1.94478099317055,0.0330090892803545,0.0694216928943614,0.148141325421655,0.0607131542401217,0.0356081753831511,11.3062853813171,8.50705671310425,56.6267619132996,15.5989725589752
8000,0.8,25,5000069,1.05826638997186,9.83997360320328,1.94552367524843,0.0329438017242429,0.0691515407220947,0.14713299394458,0.0605646757088667,0.0356005883635623,48.8774485588074,20.5101583003998,56.6318893432617,15.490086555481
8000,0.8,50,5000069,1.0162381399082,10.0021596901183,1.9600660910369,0.0322301118738932,0.0679888609720112,0.137762891986447,0.0606314478533505,0.0354041817012415,115.625966787338,44.7796287536621,56.4931149482727,15.5432665348053
8000,0.8,75,5000069,0.971772597982681,10.2211673496816,1.96813407053437,0.0310402606740121,0.0698576305244211,0.142859677838883,0.0623462124021993,0.0350129886436881,33.907294511795,12.2046599388123,63.6300508975983,16.660856962204
8000,0.8,1,5000070,1.00034772782831,9.99610052847957,2.05403127899315,0.0762734176808757,0.0687714237102208,0.141706294566109,0.0620313742345813,0.0359750053746815,0.733340263366699,0.297899484634399,56.5494728088379,15.3997328281403
8000,0.8,5,5000070,1.01066852255031,9.97097659949801,2.04117748632999,0.0756545089846505,0.0711181935820353,0.14756135472974,0.0641850623133942,0.0359985840847803,10.1297409534454,5.73186850547791,56.4938881397247,15.3994300365448
8000,0.8,25,5000070,0.98933042353463,10.029369360537,2.06636997400802,0.0729053549136826,0.0715323916418163,0.1486776765654,0.0642204259853605,0.0358992286805404,36.3951787948608,21.2082734107971,56.6655237674713,15.5771906375885
8000,0.8,50,5000070,0.968727641119214,10.0670074131618,2.09949643198776,0.0717200117764016,0.071626764349777,0.150415994099933,0.063999703918946,0.0358152804100507,86.7958099842072,41.703314781189,54.3088796138763,14.7967901229858
8000,0.8,75,5000070,1.45010412707911,9.3756708891996,1.69907752368163,0.00597572765623835,0.131984026200183,0.212520216178604,0.10811934222987,0.037018715901618,27.8349359035492,6.40108942985535,66.3922045230865,14.7066843509674
8000,0.8,1,5000071,1.01249119895298,10.0378731085504,1.95121656697749,0.0235324724821957,0.0703192888138087,0.150748119218662,0.0617493904762086,0.0356575849828599,0.662380456924438,0.275375127792358,54.146378993988,14.7765364646912
