"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
8000,0.1,10,1,0.5,1,2,40,40,5,8000001,0.98216054825876,10.0875484799693,1.96091710931726,0.000577774787643892,0.973447992309932,10.0946816898742,1.97181197019758,-0.00290302820952643,0.998457950769865,10.0619718514293,1.94734529755776,0.000289214505475236,0.973442542367293,10.0946913133218,1.97181364783505,-0.00290494907341823
8000,0.2,10,1,0.5,1,2,40,40,5,8000001,1.01571917824668,9.99126396077158,1.9762065628084,0.0220691614637759,0.995906502680333,10.0019933359844,2.00356831694975,0.013355643112167,1.01852623722777,9.97450203424609,1.98148276342565,0.0146335422033666,0.9958722951354,10.0021784029886,2.0035178147442,0.0133826646514968
8000,0.3,10,1,0.5,1,2,40,40,5,8000001,0.970454420224544,10.0510027794832,1.99628318830449,0.0147256075147719,1.0369348619505,9.94318238431771,1.93270771572235,0.000376443029090887,0.988240806954328,10.019881683183,1.98133125592115,0.00771533615355173,1.03628964136932,9.94501531958639,1.93286767534867,0.000446072854236118
8000,0.4,10,1,0.5,1,2,40,40,5,8000001,0.950284411275225,10.0526071360797,2.04296068913391,0.0171177175124503,0.910647892399065,10.109808738824,2.07262413970376,0.0196374735376347,0.95708778440951,10.0627038568969,2.02038137345273,0.0144289125559004,0.911648308968168,10.1078393087867,2.07174428893221,0.0195987568897842
8000,0.5,10,1,0.5,1,2,40,40,5,8000001,1.05261233485297,9.92530591150578,1.96746265502504,0.0161560121014014,1.04305236494237,9.92864063870384,1.98134357493057,0.000166567615915132,1.02309067678191,10.0119002761082,1.9797305320102,0.00171772111563469,1.04135024509753,9.93472980020646,1.9814622740603,0.0002118207118234
8000,0.6,10,1,0.5,1,2,40,40,5,8000001,1.0283093027424,9.95885824298816,1.97947604949543,0.0172939879772678,1.02721166864918,9.95920474950785,1.96998978711414,0.00821494346348919,1.04253648662885,9.98861015975791,1.92860873950255,0.00352908019141801,1.02633710286381,9.9645886508345,1.96926522452178,0.0071600330474464
8000,0.7,10,1,0.5,1,2,40,40,5,8000001,1.03080099118899,9.97652014709964,1.94922594218393,0.0149711734243962,1.04902354167583,9.9683025743488,1.93318283255141,-0.014376345097013,1.09565502486209,9.88752325681991,1.85545741799581,-0.00296936915405532,1.04927324477442,9.97210012400874,1.93083267802973,-0.0150123586238881
8000,0.8,10,1,0.5,1,2,40,40,5,8000001,0.998473484522791,10.0091552269399,1.99510034829862,0.0198702432315631,0.933422722617547,10.1644711500748,2.06025042056164,0.0285526933725774,1.00957768071141,9.96789789112023,2.00805076839809,0.022348558553201,0.94082893960509,10.1441321403679,2.05327314256534,0.0303780234655221
8000,0.9,10,1,0.5,1,2,40,40,5,8000001,0.979208362570539,10.0502166468516,2.00238605681318,0.000161445167719468,0.909794027252703,10.2982011522081,2.04598646937004,-0.056090712919391,1.07821260235025,9.95706494112554,1.84237672430798,-0.0119776994813941,0.935314980078747,10.2205884516804,2.02745814516064,-0.0562151088397745
8000,0.1,10,1,0.5,1,2,40,40,5,8000002,0.99279905011233,10.0308650506891,2.00895749191623,-0.0343591932638056,0.99755188778323,10.0197861310193,2.01252877770479,-0.0417748478729824,0.998372167841038,10.0160040468551,2.00815080690392,-0.03153857404772,0.997494455973772,10.0198824735732,2.01258036516582,-0.0417678859459941
8000,0.2,10,1,0.5,1,2,40,40,5,8000002,1.00674581325208,10.0050688030253,2.02028951396283,-0.0327806798095418,1.0120468330899,9.98846091588545,2.01921682127081,-0.0320157320025513,1.0080620709881,10.0098657037008,2.0143865068931,-0.029435976188763,1.0119749734719,9.98871693987894,2.0192080126304,-0.0319811949213991
8000,0.3,10,1,0.5,1,2,40,40,5,8000002,1.08596109685641,9.92825459863132,1.93898220117455,-0.0314502830661314,1.08339049601989,9.94855970864017,1.92665771648715,-0.0287820228932847,1.0931980413263,9.93959051295473,1.91473354061511,-0.0273403426138817,1.0830868733028,9.9493780097304,1.92672429126858,-0.0287602455822494
8000,0.4,10,1,0.5,1,2,40,40,5,8000002,1.0163436114559,10.0043879801738,2.0038819645485,-0.0316930044210556,1.01048298600164,10.0200065793568,2.00712878161059,-0.0372402581396397,1.02599557029423,9.98561758455003,1.99112505230385,-0.0270419660926463,1.00921146308303,10.0240617988686,2.00736498042129,-0.0374527452762134
8000,0.5,10,1,0.5,1,2,40,40,5,8000002,1.02941602575581,9.96109118038913,2.01676917418318,-0.0319858113573202,0.985007370408195,10.0942277374893,2.01184328851589,-0.00872798249709817,1.03035349510956,9.94056999256658,2.02207269173541,-0.0232343348677867,0.9884896632636,10.083778393059,2.01048431838804,-0.00877690584989766
8000,0.6,10,1,0.5,1,2,40,40,5,8000002,1.03741764253521,9.97712418553275,1.98773286010538,-0.0321039549330252,1.03623816545499,10.001831635871,1.97469008941479,-0.0547528996459363,1.04272105019473,9.95541518410536,1.97694040247969,-0.0509457651017343,1.03708277145978,9.9986631232998,1.97477141260341,-0.0546671726860077
8000,0.7,10,1,0.5,1,2,40,40,5,8000002,0.998376320564713,10.010918809647,2.0312230448785,-0.0310291708000488,0.985170706308004,10.0440374345537,2.03282650184382,-0.0720235162641514,1.03079895618235,9.99296967318343,1.97981537007935,-0.0556287365321188,0.983241098677251,10.051206228113,2.0331048370204,-0.0720160423936645
