"est","ste","param","method","ci.lower","ci.upper"
42.2458291601832,1.3361142508803,1,"CC",39.6270933492271,44.8645649711393
12.1589898494661,3.35365791111178,2,"CC",5.58594112721918,18.732038571713
-11.6975657814021,1.69645311343247,3,"CC",-15.0225527851906,-8.37257877761361
5.10892627234518,5.65187168267819,4,"CC",-5.96853867094586,16.1863912156362
4.96522113426914,0.0501033855990101,5,"CC",4.86702030299155,5.06342196554672
42.0276563579598,1.05088677313706,1,"MLE",39.9679561307817,44.087356585138
12.0971056223661,1.66529921686438,2,"MLE",8.83317913382913,15.361032110903
-10.6216326522363,1.29774247045758,3,"MLE",-13.1651611555412,-8.07810414893138
-2.17324418218694,2.47407073321641,4,"MLE",-7.0223337144957,2.67584535012183
4.94908920166477,0.0220149843178015,5,"MLE",4.90594062528166,4.99223777804787
42.2498755087758,1.30086359299718,1,"Semipar. (Param.)",39.700229717702,44.7995212998496
12.146821000172,3.1727723985249,2,"Semipar. (Param.)",5.92830136792048,18.3653406324236
-11.5769527141833,1.67459170164773,3,"Semipar. (Param.)",-14.8590921382225,-8.2948132901441
3.91388631550637,5.36032957055343,4,"Semipar. (Param.)",-6.59216658804341,14.4199392190561
4.96503405564253,0.0492188896845625,5,"Semipar. (Param.)",4.86856680450173,5.06150130678332
42.2531553311055,1.29989136130747,1,"Semipar. (Nonpar.)",39.7054150791281,44.8008955830829
12.1355866292093,3.17212768137943,2,"Semipar. (Nonpar.)",5.91833061934303,18.3528426390755
-11.6232547332843,1.67065148509192,3,"Semipar. (Nonpar.)",-14.8976714747829,-8.34883799178583
4.32030793367355,5.38714314754322,4,"Semipar. (Nonpar.)",-6.23829861507292,14.87891448242
4.96485491983332,0.0493592038696023,5,"Semipar. (Nonpar.)",4.86811265794333,5.06159718172331
