"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4","Vor1","Vor2","Vor3","Vor4","Vcc1","Vcc2","Vcc3","Vcc4","Vml1","Vml2","Vml3","Vml4","Vsp1","Vsp2","Vsp3","Vsp4"
4000,0.6,10,1,0.5,1,2,40,40,5,6000001,0.99106241451115,10.0001754866044,1.99555171631897,0.0329288287820667,0.845983199575732,10.3673957874196,2.08556578222628,-0.000453089012922306,0.894519581528142,10.2710190129754,2.04811420085426,0.0306175750130281,0.844216134953292,10.3732016207068,2.08598072293205,-0.00121218671306928,0.0499059307207564,0.0708213228383643,0.036133762369585,0.0107488385765422,0.0789364736382005,0.150977052209923,0.0632610393058178,0.0176556344531961,0.0596848483568197,0.0915783954891436,0.0479454986956515,0.0152953746091769,0.0789029069829819,0.150801726416565,0.0632510814098521,0.0176535318593308
8000,0.6,10,1,0.5,1,2,40,40,5,6000001,0.979561940622785,10.0242313666926,2.0119773997199,-0.00651769737431206,1.00006879497668,10.0263435674085,2.01367307356557,-0.00962933391354985,0.979049269512496,10.0165254959684,2.029939886827,0.0172884661631752,0.993678499402279,10.0406749582345,2.01873229358727,-0.0100535491429807,0.0356844200300769,0.0509323226926527,0.0258667740758828,0.00775254595864242,0.0561101368877009,0.111984963115972,0.0446319554235095,0.0117938336432552,0.0407219566269752,0.0614607514621823,0.0328112293158728,0.0103256930895906,0.0560407663780071,0.111698629508919,0.0446028917305043,0.0117917761021247
4000,0.7,10,1,0.5,1,2,40,40,5,6000001,1.00240940588725,10.028021773718,1.94734730373103,0.0347317218407232,1.1325352149476,9.73221865918897,1.84683446028074,-0.020120804324178,0.91381533409418,10.3572965779309,1.95230619296355,0.0562702682603126,1.09865955639316,9.85560968871554,1.86071328483278,-0.0233607989412244,0.0496031805339654,0.071189798105925,0.0355853342419837,0.0107395595365186,0.0890880215425345,0.191154447158976,0.0720040154978109,0.0206246841495108,0.0609353092208293,0.093886661012671,0.050052151587873,0.016585536015738,0.0889043121929097,0.190010992898829,0.0719626864272164,0.0206075940743214
8000,0.7,10,1,0.5,1,2,40,40,5,6000001,1.00323615218181,9.95221932680313,2.03271673729875,-0.0132065315852497,0.956881543328654,10.1063569199315,2.06651021844456,-0.0156216508694697,0.712312626324131,10.602059736973,2.24486947348051,0.0664294006093088,0.920696963936706,10.1988799648326,2.10248060872317,-0.0111664626088042,0.037008843443401,0.0529981455508922,0.0265251557899148,0.00779715435027066,0.0638834017899247,0.132265079122759,0.0511451976719563,0.0140362971097698,0.0425174336650446,0.0657514291550995,0.0322563238975508,0.0114589248145822,0.0637307675883036,0.131698773318332,0.0510719799356398,0.014017485084265
4000,0.8,10,1,0.5,1,2,40,40,5,6000001,1.00392849961944,9.9623231923924,2.00968410842982,0.0312060936871573,0.837196307438653,10.3079575928314,2.08693635695195,0.00246961355949545,0.664914665139525,10.9722889113489,2.1488112644051,0.0236803134137639,0.790765296502057,10.4921434285042,2.10662854175772,0.00393616756650578,0.0500121093710156,0.0716910702750065,0.0357230158226572,0.0110090605342484,0.101411752567774,0.242422297128314,0.0837125978843188,0.0255566836415434,0.0679334281385839,0.107722096436622,0.057337645148381,0.0203336735251395,0.100906474938469,0.239729228029526,0.0834554644431846,0.025484653135426
8000,0.8,10,1,0.5,1,2,40,40,5,6000001,1.0522346663603,9.91718191868933,1.96091623810469,-0.00201664292994577,0.932492385531138,10.11671145258,2.05370039456398,-0.0073569824346706,0.855232330857897,10.3271124236196,2.10377824523178,-0.0156631358549009,0.912816113286779,10.1948919835064,2.06153718237659,-0.00809771731312768,0.0358637755319688,0.0509788275424169,0.0257310167266278,0.00778807763079432,0.0758424970744751,0.177447291920578,0.0635394671144259,0.0167190916661645,0.0483737653354065,0.0740730014618783,0.041190203257537,0.0142209349845329,0.0754644267755003,0.175359449838801,0.0634280722892252,0.0167066789236777
4000,0.6,10,1,0.5,1,2,40,40,5,6000002,0.935543017826346,10.1020379642486,2.01151225771963,0.0105321191073685,0.972356344356003,10.0718492303695,1.99619889021102,0.0108830337275879,0.942625065651601,10.18803385571,1.97635613864621,0.0295834171054559,0.963882373341784,10.1006581229965,1.99845976500267,0.00914029208492344,0.0503302876889898,0.0732151410964205,0.0359953816922822,0.0110351443468127,0.0793339605765792,0.158554857005503,0.0616631998067554,0.0177081892339721,0.0592067792079453,0.092210370214772,0.0474517025292108,0.0151762340070831,0.079308100442858,0.158338896819355,0.0616746101962388,0.0177040373666064
8000,0.6,10,1,0.5,1,2,40,40,5,6000002,0.957592349438278,10.0474343524759,2.02070872707065,-0.0157275458276247,0.959812386878024,10.0889106109452,1.99156322508266,-0.0486414205547545,0.958825531879599,10.0911761156759,1.98804838969089,-0.0405738399363374,0.957236285888947,10.099811609018,1.99159231753541,-0.0481007961859245,0.0375508941165236,0.0527336118147317,0.0268452877277624,0.00795965923908236,0.0588040908496967,0.114785953880043,0.0460416085525404,0.0133736593278853,0.0451298366528173,0.0686648506315239,0.0363045489683387,0.0117133243980092,0.058748639450146,0.114501920956675,0.0460306868959437,0.0133687446167875
4000,0.7,10,1,0.5,1,2,40,40,5,6000002,0.999651892403245,10.023792630143,1.96038478024859,0.0107385616085022,0.894491353126192,10.2385765894206,2.02861103126335,-0.0101108777464926,0.937243274356462,10.1085526535913,2.01749971085741,0.000390175772454051,0.886379941801371,10.2646256391228,2.03181396217905,-0.0111354976138962,0.0499768916643843,0.071674678674844,0.0360293950870206,0.0110277159343182,0.0867589735694276,0.194198751090353,0.0696080720825556,0.0210357520899348,0.0616545253071672,0.0945396409471431,0.0512611734539122,0.0177987588659194,0.0864897584440249,0.192768234684108,0.0695609868006212,0.0210114240552337
8000,0.7,10,1,0.5,1,2,40,40,5,6000002,0.941426721847736,10.0660850937044,2.03740138469487,-0.0167916486647126,1.00950879421269,9.93910406281707,1.98837327321232,-0.00890006949514085,1.06908218656429,9.85278722786759,1.92007309396423,-0.0103471839937357,1.01070381366635,9.93606193231569,1.9864205246012,-0.00851537976352426,0.0361431684863846,0.0516764385201515,0.0261381246950257,0.00792337538249441,0.06310881672803,0.134650401148402,0.0515513414067129,0.0144946987096729,0.0438927813052008,0.0667817565435023,0.037150795950408,0.0123696319824751,0.0629491533831718,0.133869574250222,0.0515091435862119,0.0144886215103321
