"n","q","ndistinct.Z","seed","B.or.B1","B.or.B2","B.or.B3","B.or.B4","B.cc.B1","B.cc.B2","B.cc.B3","B.cc.B4","B.sp.11.B1","B.sp.11.B2","B.sp.11.B3","B.sp.11.B4","B.sp.22.B1","B.sp.22.B2","B.sp.22.B3","B.sp.22.B4","V.or1","V.or2","V.or3","V.or4","V.cc1","V.cc2","V.cc3","V.cc4","V.sp.111","V.sp.112","V.sp.113","V.sp.114","V.sp.221","V.sp.222","V.sp.223","V.sp.224","time.xz.param","time.xz.nonpar","time.cz.param","time.cz.nonpar","time.est.or","time.var.or","time.est.cc","time.var.cc","time.est.sp","time.var.sp"
8000,0.8,8,1000029,0.978215222210966,10.0006089565346,2.00941310139207,-0.00636318705642396,0.925317331773978,10.1304542341234,2.0111063820284,-0.0184989476409181,0.976974746289699,10.0843392065465,1.99986489820545,-0.0169045557844792,1.02358427543745,9.97131562366908,1.99383247705437,-0.0164731747636142,0.0374369650355922,0.0498357133753559,0.00522038182340292,0.0160467579472949,0.0821805890462223,0.188875953725528,0.0124556693939654,0.0353058411100836,0.0672345094015359,0.142166863404086,0.0117146392614547,0.0352830137896182,0.0762904780751143,0.167410451386572,0.0124996231385558,0.035481708867473,0.434005260467529,25.0210423469543,0.444364547729492,18.4259738922119,0.0139148235321045,0.0526511669158936,0.00531363487243652,0.00993204116821289,187.575892925262,51.1527774333954
8000,0.8,2,1000030,1.00867712707143,9.97445129555805,2.00220923110194,0.00387892228972039,1.00603098373685,10.0031673223482,1.95059861878954,0.0375105130442899,1.00860771399071,9.99269563914508,1.94755027792337,0.0371910421981071,1.03069114062556,9.92154265847964,1.93400319418793,0.0375022447545347,0.0361329470850305,0.0516187234055425,0.0257411489138792,0.0158983369325993,0.0785132133812192,0.178230634241736,0.0658437271263765,0.0360481563991279,0.0727362483707888,0.151043354785126,0.0635674605387247,0.0359969393150477,0.0760709854779639,0.163047186305005,0.065690470397924,0.0360701276117802,0.323845863342285,11.9622185230255,0.351480007171631,8.14641690254211,0.0143675804138184,0.0486247539520264,0.0110547542572021,0.0103471279144287,42.4466979503632,15.2402467727661
8000,0.8,4,1000030,1.01403915991132,9.99283341143939,1.99034197148059,-0.00403223630142394,0.948054083208922,10.0884294975459,2.0196655009722,-0.0302806531744248,0.964983819542077,10.0587557988533,2.0123360036613,-0.0294467360724363,0.97505513011768,10.0396796276483,2.00901989166401,-0.0299559224136942,0.0367587244638863,0.050571817916552,0.0108032693062374,0.0159311564843104,0.0762783608350767,0.167510945956726,0.0256574733643206,0.0360536047992626,0.0694092758510141,0.14025106477804,0.0248604644682305,0.036020500786957,0.0717129516053709,0.148234459185456,0.0252802882611865,0.0360766308243751,0.369669437408447,30.7395029067993,0.343349933624268,23.3352439403534,0.0197463035583496,0.0490455627441406,0.00532746315002441,0.0101931095123291,81.8853213787079,27.2861897945404
8000,0.8,8,1000030,1.07830017768833,9.92597715361036,1.98761507133632,-0.00605827714563236,0.997568749214989,10.1007020088089,1.99874281728519,-0.0169821500284725,0.99765501258857,10.1109196639723,1.99785349776575,-0.0172759385122307,1.01840053609948,10.0738468635326,1.994705150484,-0.0168517488202945,0.037624776374867,0.0502251534528785,0.00519832188190406,0.0159774700675971,0.0788619658141332,0.170598028014105,0.0119050934265902,0.0345664642993451,0.0656649150361645,0.131886925062657,0.0113445953929752,0.0345265753455101,0.0679401678147081,0.137825999655199,0.0115139255842421,0.0345587677475886,0.443460941314697,22.3340957164764,0.421746969223022,16.2769885063171,0.0145106315612793,0.0488715171813965,0.0114245414733887,0.0108697414398193,154.52734875679,51.5474753379822
8000,0.8,2,1000031,1.02443603548273,9.96860112182486,2.00711039911825,-0.00171593326631669,1.02023329913698,9.96554148526306,2.03085619624681,-0.0410179775284978,1.00783703803968,10.0053950028449,2.04005610578896,-0.0403394802506189,1.02056916580283,9.97248215575507,2.0285996086154,-0.0408137239466552,0.035583663626332,0.0509862174353354,0.026169311586391,0.015505425627266,0.0732559707893431,0.178906107015544,0.0609539061529138,0.0335525236996261,0.066958925384553,0.14814811853812,0.0585998938351446,0.0334471749118989,0.0680597928376562,0.151823837441587,0.0594095222511434,0.03348873266934,0.327101230621338,17.0284860134125,0.34419846534729,8.54220962524414,0.013669490814209,0.052567720413208,0.0106830596923828,0.0107161998748779,55.2206289768219,15.0547773838043
8000,0.8,4,1000031,0.993418802649536,9.98937902932832,2.01328307552793,-0.000464887862027385,0.975916793988192,10.0522175831132,2.01417113267094,-0.00990383737330723,0.981193370691619,10.0660121226453,2.00897860216127,-0.00964169465592067,1.02372660729897,9.96343042100714,1.99628478102719,-0.00936039891625341,0.0375378997016799,0.0511301467771184,0.0110479836013812,0.0155908946406494,0.0794684527712751,0.167635775432004,0.0260192541708814,0.0344447759005036,0.0712921126479505,0.135696169762344,0.0248476103253464,0.0343526781460042,0.0752087976302254,0.146736042809806,0.0258038054125438,0.0344811369156112,0.360889911651611,31.8226954936981,0.47396993637085,18.2818224430084,0.0143132209777832,0.0490691661834717,0.00532627105712891,0.0162391662597656,81.460640668869,27.2496845722198
8000,0.8,8,1000031,1.04612135364922,9.92121651212992,1.99994802786679,0.000944036986109578,1.02511075152859,9.96434088160422,2.00373500547813,0.00556777658036445,0.973252244736978,10.0332677800976,2.01357102277801,0.00630224184517334,0.960958940684705,10.0431564442802,2.01636492410206,0.00601818961776814,0.0376872483613412,0.0504794285712639,0.00522094022161107,0.015568557558804,0.0767655348835771,0.167394752739088,0.0116992933063289,0.0331454895426134,0.0626081801344053,0.1256818657316,0.0110722269564434,0.0330025356301289,0.0627687729001736,0.127970543941751,0.0110540090905058,0.0330043778587514,0.450165271759033,37.528834104538,0.444562911987305,18.7137718200684,0.0140247344970703,0.0489044189453125,0.0109708309173584,0.0110511779785156,188.62070441246,51.6626586914062
8000,0.8,2,1000032,1.01871324302203,9.98361462122848,1.99581976593501,0.0165792009366537,0.997023345700666,9.95564678805304,1.97712623291709,0.0068889254468762,0.985265318358881,9.99238263177559,1.98138776899372,0.00777149987801905,1.00494685750281,9.91845407830528,1.97749620354382,0.00774510505515186,0.0367264040245597,0.0527426715129448,0.0263932420890707,0.0155781042860224,0.0737169045264965,0.169895899483951,0.0607938686910145,0.0334614547520802,0.0679764839547566,0.140820855843868,0.0591051879437035,0.0333781593151746,0.0689452387820598,0.147667912140495,0.0590542106535924,0.0334748343921353,0.334342956542969,15.6001908779144,0.330588817596436,9.84157538414001,0.0179688930511475,0.0488598346710205,0.00554966926574707,0.0103304386138916,45.2791945934296,15.1012213230133
8000,0.8,4,1000032,1.02332075363614,9.97488660939394,1.99992359740386,0.0182039105227443,0.931157933198468,10.2314431442686,2.02456659890084,0.00102562828058105,0.947035286174817,10.1952428731474,2.01917944206253,0.00176444842280052,0.918354832064926,10.2373537445266,2.03240990548922,0.0013791239785127,0.0376562510583299,0.0514630626259676,0.0110732849076436,0.0155845856379696,0.0799593461291472,0.174162190951856,0.0267879798163389,0.0362166387621552,0.0725457216933517,0.147749926270055,0.0257292263524062,0.0361807943866037,0.0710509424486593,0.1457300826173,0.0252138617413942,0.036149345750989,0.368820428848267,42.7513866424561,0.36190390586853,7.47059655189514,0.0202646255493164,0.0492889881134033,0.00537705421447754,0.0102596282958984,81.6060802936554,27.4050481319427
8000,0.8,8,1000032,1.04517376558641,9.98942258571462,1.99127421007433,0.0143940515169956,1.12888712838565,9.72114992162668,1.99024093471882,0.0251285496847799,1.06624902972566,9.82574001180201,2.00124863918699,0.0256922566143452,1.04905031727907,9.82058384002252,2.00687122785067,0.025687193478179,0.0384923767846053,0.0514656729330713,0.0052388806261283,0.0155624901698807,0.0777507797726724,0.172126772211558,0.0117634884188699,0.0341637331219755,0.062011236339984,0.124363121492699,0.0112472323304092,0.0339490393169476,0.0639304501334958,0.129826090447556,0.0114767261828822,0.0339233655230649,0.441483974456787,20.8665716648102,0.458953380584717,20.4463407993317,0.0186877250671387,0.0484757423400879,0.00542831420898438,0.0102124214172363,188.038092136383,51.1004145145416
