"n","q","x.shape","c.shape","mx","mc","my","seed","Bor1","Bor2","Bcc1","Bcc2","Bml1","Bml2","Bsp1","Bsp2"
10000,0.4,1,1,50,15,2,4000001,0.996636526215257,2.02443041643407,1.01623982912274,1.93212467679227,1.00442320539711,1.98057720832726,1.01633250399003,1.94279210252708
10000,0.8,1,1,50,15,2,4000001,0.996636526215257,2.02443041643407,1.01606535363424,2.00221059911304,0.992605513184336,1.99923935398364,1.0366888385797,2.01290197474626
10000,0.4,4,1,50,15,2,4000001,1.00701340257405,2.01201538296989,1.03420419818847,1.89818181424684,1.10723945462217,1.47214054788904,1.03290152561379,1.90158042133628
10000,0.8,4,1,50,15,2,4000001,1.00701340257405,2.01201538296989,1.05695043714302,1.96288387100465,1.17528717247607,1.16715240476691,1.0907751430217,1.73677639519301
10000,0.4,1,4,50,15,2,4000001,1.01385907457955,1.978709091796,1.00188001603129,2.16450612917056,1.01919681844837,1.95210250476168,1.00162093424203,2.17009796786284
10000,0.8,1,4,50,15,2,4000001,1.01385907457955,1.978709091796,0.999761621045233,1.89788395359315,1.0150784330637,1.97386632030432,0.991373807213447,2.034615919394
10000,0.4,4,4,50,15,2,4000001,1.015788985562,1.94552944873021,1.00440607034494,2.02466303067025,1.11380317837658,1.35831515540061,1.00652919705145,2.00996394176766
10000,0.8,4,4,50,15,2,4000001,1.015788985562,1.94552944873021,1.01759510505504,1.93132575883339,1.12160837441108,1.24280441033753,1.05472102062446,1.63318896313133
10000,0.4,1,1,50,15,2,4000002,1.01475191541859,1.96271863578151,1.03048291135579,1.92221480318022,1.01595739099141,1.94707986750812,1.03095571852793,1.92761422187542
10000,0.8,1,1,50,15,2,4000002,1.01475191541859,1.96271863578151,1.09010038493244,0.826118865567685,-70.4681360204657,631.88743764272,1.05893812736527,1.75348196102393
10000,0.4,4,1,50,15,2,4000002,0.989260326140618,2.05861619771397,0.99102430960907,2.04638329383344,1.08498592534083,1.51859649529734,0.989936612787708,2.04897563200097
10000,0.8,4,1,50,15,2,4000002,0.989260326140618,2.05861619771397,0.988356805653856,2.01235923788697,1.14322375769432,1.24001893240968,1.0039015101888,1.87526200858385
10000,0.4,1,4,50,15,2,4000002,1.00415668201133,1.99482961239655,1.01078549570395,1.82494133463471,1.00313467694828,1.98988960855897,1.00822764827265,1.85782630745685
10000,0.8,1,4,50,15,2,4000002,1.00415668201133,1.99482961239655,1.020048876605,1.53892875181867,1.02593763602799,1.92446028191086,1.0016061777922,1.95926044858919
