"n","q","B2","s2","x.mean","x.shape","c.shape","specify.x.gamma","specify.c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bcc.B1","Bcc.B2","Bcc.B3","Bml.B1","Bml.B2","Bml.B3","Bsp.B1","Bsp.B2","Bsp.B3"
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,1,100,15,3,1,1.00158509515976,0.19834775956127,-2.42330061974277,1.00791939298883,0.178734758951446,-2.38588926187369,1.00838728122375,0.18797254611193,-2.40990148294995,1.00723851762947,0.184198896788772,-2.3858777602561
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,1,100,15,3,1,1.00158509515976,0.19834775956127,-2.42330061974277,1.00791939298883,0.178734758951446,-2.38588926187369,1.01272333863891,0.154780946256497,-2.41781879754002,1.00906032536413,0.173662392359891,-2.38588467162959
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,0,100,15,3,1,1.00158509515976,0.19834775956127,-2.42330061974277,1.00791939298883,0.178734758951446,-2.38588926187369,1.00838728122375,0.18797254611193,-2.40990148294995,1.00702969443553,0.186620286567723,-2.38587587156347
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,0,100,15,3,1,1.00158509515976,0.19834775956127,-2.42330061974277,1.00791939298883,0.178734758951446,-2.38588926187369,1.01272333863891,0.154780946256497,-2.41781879754002,1.0089504063098,0.175305208441985,-2.38589194365243
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,1,100,15,3,2,0.996645324538827,0.192547201400161,-2.38324651678019,0.990824999692757,0.237210012441241,-2.3729034963312,0.996393988802457,0.191910597420891,-2.38166209638078,0.991991577901514,0.231364619784517,-2.37285354172471
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,1,100,15,3,2,0.996645324538827,0.192547201400161,-2.38324651678019,0.990824999692757,0.237210012441241,-2.3729034963312,1.00029072922362,0.162654745314635,-2.38543028232814,0.99312825095182,0.225292506472534,-2.37281764029603
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,0,100,15,3,2,0.996645324538827,0.192547201400161,-2.38324651678019,0.990824999692757,0.237210012441241,-2.3729034963312,0.996393988802457,0.191910597420891,-2.38166209638078,0.992085493420489,0.231217772822218,-2.37285631150992
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,0,100,15,3,2,0.996645324538827,0.192547201400161,-2.38324651678019,0.990824999692757,0.237210012441241,-2.3729034963312,1.00029072922362,0.162654745314635,-2.38543028232814,0.9933481423489,0.224324917532566,-2.37280931587566
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,1,100,15,3,3,0.988734418358481,0.220621884495499,-2.37197304473732,1.00098747926849,0.174061457189529,-2.37923270242477,0.994316854947831,0.207812311355473,-2.36277502746999,0.999980648522622,0.180722140768445,-2.37927976455012
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,1,100,15,3,3,0.988734418358481,0.220621884495499,-2.37197304473732,1.00098747926849,0.174061457189529,-2.37923270242477,0.996689647760838,0.184556938542128,-2.36851965232273,1.00061017771111,0.177056136370855,-2.3792935906337
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,0,100,15,3,3,0.988734418358481,0.220621884495499,-2.37197304473732,1.00098747926849,0.174061457189529,-2.37923270242477,0.994316854947831,0.207812311355473,-2.36277502746999,0.999867695290208,0.182127680805579,-2.37929375947786
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,0,100,15,3,3,0.988734418358481,0.220621884495499,-2.37197304473732,1.00098747926849,0.174061457189529,-2.37923270242477,0.996689647760838,0.184556938542128,-2.36851965232273,1.00054760402719,0.178069912239175,-2.37931017210604
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,1,100,15,3,4,0.998935972027169,0.194391251871927,-2.41300815002255,1.00585556635346,0.103310994389326,-2.46514312705638,0.986272264188696,0.220393597339703,-2.43580918216773,1.00138301098034,0.131153456922201,-2.46487520400747
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,1,100,15,3,4,0.998935972027169,0.194391251871927,-2.41300815002255,1.00585556635346,0.103310994389326,-2.46514312705638,0.989390443059951,0.189359041892756,-2.44570943509579,1.00172728759702,0.128861379843896,-2.46495528975333
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,0,100,15,3,4,0.998935972027169,0.194391251871927,-2.41300815002255,1.00585556635346,0.103310994389326,-2.46514312705638,0.986272264188696,0.220393597339703,-2.43580918216773,1.00090599849373,0.135212911778147,-2.46480599623333
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,0,100,15,3,4,0.998935972027169,0.194391251871927,-2.41300815002255,1.00585556635346,0.103310994389326,-2.46514312705638,0.989390443059951,0.189359041892756,-2.44570943509579,1.00130123949568,0.132427183375798,-2.46490920884978
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,1,100,15,3,5,1.0047312301314,0.202181662673525,-2.40145279306276,1.01293551265696,0.199129983072403,-2.42922452689785,1.00557615069188,0.199744818859493,-2.40345453964576,1.01275230153136,0.202280529918595,-2.42928179577067
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,1,100,15,3,5,1.0047312301314,0.202181662673525,-2.40145279306276,1.01293551265696,0.199129983072403,-2.42922452689785,1.00896923892613,0.171802853168668,-2.40981234058242,1.0137683763313,0.196515916262377,-2.42929400740314
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,0,100,15,3,5,1.0047312301314,0.202181662673525,-2.40145279306276,1.01293551265696,0.199129983072403,-2.42922452689785,1.00557615069188,0.199744818859493,-2.40345453964576,1.01277965423048,0.203575516962363,-2.42932127451029
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,0,100,15,3,5,1.0047312301314,0.202181662673525,-2.40145279306276,1.01293551265696,0.199129983072403,-2.42922452689785,1.00896923892613,0.171802853168668,-2.40981234058242,1.01390124000078,0.19703397016809,-2.4293335923595
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,1,100,15,3,6,1.00583836950387,0.187180091568232,-2.40174452817031,1.02594966420012,0.149613034096044,-2.45351633531913,1.01801350544744,0.159997512296963,-2.38256436098297,1.02468133494678,0.159360913106157,-2.45358603056407
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,1,100,15,3,6,1.00583836950387,0.187180091568232,-2.40174452817031,1.02594966420012,0.149613034096044,-2.45351633531913,1.01964740763353,0.140113924596813,-2.38830588950758,1.02537100609785,0.155446125637327,-2.4536184149417
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,0,100,15,3,6,1.00583836950387,0.187180091568232,-2.40174452817031,1.02594966420012,0.149613034096044,-2.45351633531913,1.01801350544744,0.159997512296963,-2.38256436098297,1.02461384183115,0.160780771938223,-2.45361027162027
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,0,100,15,3,6,1.00583836950387,0.187180091568232,-2.40174452817031,1.02594966420012,0.149613034096044,-2.45351633531913,1.01964740763353,0.140113924596813,-2.38830588950758,1.0253811164863,0.15629611131391,-2.45364892444651
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,1,100,15,3,7,0.995513360748833,0.208643808200001,-2.36444622682653,1.01055590517193,0.167794245090367,-2.28533296582133,1.00738635682105,0.183670241847895,-2.33974948486597,1.01046124419483,0.168797100786642,-2.28526942691897
