"n","q","B2","s2","x.mean","x.shape","c.shape","specify.x.gamma","specify.c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bcc.B1","Bcc.B2","Bcc.B3","Bml.B1","Bml.B2","Bml.B3","Bsp.B1","Bsp.B2","Bsp.B3"
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,1,100,15,3,2000001,1.001579940514,0.192480210909342,-2.37147507085693,1.00227765089127,0.17123346812994,-2.36499151621022,1.00578666805835,0.186845769448443,-2.36091431435822,1.00096973825404,0.179849536207591,-2.36494872060815
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,1,100,15,3,2000001,1.001579940514,0.192480210909342,-2.37147507085693,1.00227765089127,0.17123346812994,-2.36499151621022,1.00752363072288,0.163420071086156,-2.36926001369259,1.00202177080957,0.173556513657306,-2.36499089663867
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,0,100,15,3,2000001,1.001579940514,0.192480210909342,-2.37147507085693,1.00227765089127,0.17123346812994,-2.36499151621022,1.00578666805835,0.186845769448443,-2.36091431435822,1.00055757678196,0.183977876384998,-2.36493437559836
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,0,100,15,3,2000001,1.001579940514,0.192480210909342,-2.37147507085693,1.00227765089127,0.17123346812994,-2.36499151621022,1.00752363072288,0.163420071086156,-2.36926001369259,1.00176266344609,0.176506453094494,-2.36499455450597
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,1,100,15,3,2000002,1.01329909748323,0.186802596426389,-2.43572130238481,1.01951459623855,0.158060428945711,-2.39781146965312,1.01752704509463,0.182736984956304,-2.42528836414907,1.01920970884188,0.16014621196212,-2.39786821112643
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,1,100,15,3,2000002,1.01329909748323,0.186802596426389,-2.43572130238481,1.01951459623855,0.158060428945711,-2.39781146965312,1.0222402559988,0.15011750230514,-2.43065372886002,1.02033745485054,0.153851260620843,-2.39784627768403
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,0,100,15,3,2000002,1.01329909748323,0.186802596426389,-2.43572130238481,1.01951459623855,0.158060428945711,-2.39781146965312,1.01752704509463,0.182736984956304,-2.42528836414907,1.0190309748957,0.162129641324335,-2.39788923382336
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,0,100,15,3,2000002,1.01329909748323,0.186802596426389,-2.43572130238481,1.01951459623855,0.158060428945711,-2.39781146965312,1.0222402559988,0.15011750230514,-2.43065372886002,1.02025191559953,0.155173471100269,-2.39786399863089
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,1,100,15,3,2000003,0.997829370258012,0.203902320102033,-2.45058008142758,0.994732301866837,0.199772794102225,-2.43040469368748,0.998870460896932,0.194013849547627,-2.44864863045547,0.994828660494708,0.199769358138014,-2.43044887474001
4000,0.7,0.2,0.09,0.5,1.2,1.2,0,1,100,15,3,2000003,0.997829370258012,0.203902320102033,-2.45058008142758,0.994732301866837,0.199772794102225,-2.43040469368748,1.0012329038144,0.173442670985445,-2.45356677384946,0.995712458346061,0.194601238754698,-2.43042575433496
4000,0.7,0.2,0.09,0.5,1.2,1.2,1,0,100,15,3,2000003,0.997829370258012,0.203902320102033,-2.45058008142758,0.994732301866837,0.199772794102225,-2.43040469368748,0.998870460896932,0.194013849547627,-2.44864863045547,0.994720781592834,0.201008910942354,-2.43046923742647
