"n","q","x.shape","c.shape","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bcc.B1","Bcc.B2","Bcc.B3","Bml.B1","Bml.B2","Bml.B3","Bsp.B1","Bsp.B2","Bsp.B3"
10000,0.4,1,1,100,15,3,8000001,0.992764598486463,2.00185673464935,0.0862349456814603,0.993139152355836,2.00390760767955,0.0859072764480545,0.993780206009541,2.00177713950406,0.0878383785785125,0.994653396172067,2.00400505088215,0.0858269326236759
10000,0.8,1,1,100,15,3,8000001,0.992764598486463,2.00185673464935,0.0862349456814602,0.976848729545511,2.03965545716051,0.0986734428941926,0.981187596294312,2.03099560274444,0.111049399836399,0.981240897350717,2.0479150500461,0.0976741889387279
10000,0.4,1.5,1,100,15,3,8000001,0.995192694708565,2.00276106190896,0.0889636497481733,0.999918470120606,2.00054004995137,0.0798865809707613,1.05806931904914,1.94960834528025,0.080039451521222,1.00011299648137,2.00071537010313,0.0799926219168104
10000,0.8,1.5,1,100,15,3,8000001,0.995192694708565,2.00276106190896,0.0889636497481743,1.08392845516521,1.91868429695568,0.0938623589704368,1.33553411500189,1.52017777379233,0.14753181271554,1.09236956253937,1.90700132535258,0.094314351605325
10000,0.4,1,1.5,100,15,3,8000001,1.00592704382564,2.0033721866123,0.10220185102494,1.02434793337428,1.99018658750205,0.0983235321007046,1.01651722903194,1.99983925376738,0.0993537412417566,1.02509999141437,1.9905568730503,0.0982785421376336
10000,0.8,1,1.5,100,15,3,8000001,1.00592704382564,2.0033721866123,0.102201851024924,0.982688915993391,2.07529360059532,0.126772692794109,1.0111036173033,1.99852735231846,0.115150543890875,0.982699329231961,2.08829472029245,0.126527623106991
10000,0.4,1.5,1.5,100,15,3,8000001,0.997727688510021,2.00170625717078,0.0808753148876982,1.0050223041224,1.99616773313371,0.0854064971437791,1.08113408828671,1.92690158016055,0.0859207127706933,1.00537077411599,1.99620225428769,0.0854976727021794
10000,0.8,1.5,1.5,100,15,3,8000001,0.997727688510021,2.00170625717078,0.0808753148876983,0.994292808909494,1.9635665491202,0.10616789433443,1.31136855108498,1.46698627763373,0.135842578971112,1.00019564738154,1.95119103636705,0.107116779944677
10000,0.4,1,1,100,15,3,8000002,1.01429644565613,1.98319395454391,0.0897915748211214,1.02631995071201,1.97152337988488,0.0855282243174068,1.01607198235471,1.97753958152868,0.0847529185908423,1.02810651048447,1.97174292743413,0.085452587853677
10000,0.8,1,1,100,15,3,8000002,1.01429644565613,1.98319395454391,0.0897915748211062,1.04523951751847,1.92283804633882,0.0478975044247686,0.999721835910756,1.99737341163047,0.0668508664528388,1.03849446134074,1.96296158821952,0.0455549485765543
10000,0.4,1.5,1,100,15,3,8000002,0.995968375507707,2.01017510735897,0.1286630758801,1.00496213370557,2.00376904073354,0.120592025612219,1.07468686127833,1.94507492210324,0.121863982037919,1.0051035861878,2.00410580640271,0.120738329763391
10000,0.8,1.5,1,100,15,3,8000002,0.995968375507707,2.01017510735897,0.1286630758801,0.993515617645178,2.00760186238209,0.128521568272558,1.34756771635697,1.49184688165002,0.195795374733449,1.00007268677631,1.99575860895094,0.128877081544435
10000,0.4,1,1.5,100,15,3,8000002,0.992662502857202,1.99746785964963,0.102708152638865,0.968563410593309,2.01633151122839,0.0881575202718116,0.967011285274388,2.01757851212935,0.0900952833189181,0.969209601156106,2.01696190733702,0.0881973772824077
10000,0.8,1,1.5,100,15,3,8000002,0.992662502857202,1.99746785964963,0.102708152638467,0.982657743959449,1.96767814533332,0.115595726005585,0.969587957821309,2.00396361562582,0.117479772172299,0.979203210870153,1.99517459149889,0.114728641477192
10000,0.4,1.5,1.5,100,15,3,8000002,0.975471694129703,2.00371482994947,0.104095226916121,0.992617754387262,1.99756541820123,0.108222519846254,1.05438085572526,1.92928556615058,0.110277050014768,0.99256495935964,1.99793488754018,0.108307683850288
10000,0.8,1.5,1.5,100,15,3,8000002,0.975471694129703,2.00371482994947,0.104095226916126,1.03789343032484,1.91471109805237,0.116155917879244,1.32819527235948,1.4595635237017,0.1866859091382,1.05470980264754,1.88785102093681,0.116568101829178
10000,0.4,1,1,100,15,3,8000003,1.00099238847256,1.99879899786241,0.0938596348516695,0.989667363012599,2.01460886832104,0.0850327297529555,0.991139709449673,2.00757678131891,0.0856877621404504,0.99110256116588,2.01474815698309,0.0849717107051665
10000,0.8,1,1,100,15,3,8000003,1.00099238847256,1.99879899786241,0.0938596348513531,0.96924171006916,2.06043604148114,0.078210237960968,0.963321359982866,2.05337629165232,0.0881022898988062,0.967162540603256,2.08373597324355,0.0773490160140939
10000,0.4,1.5,1,100,15,3,8000003,1.01472393674808,1.99563656836744,0.0741057149495867,1.01772600976071,1.99596954056879,0.0750427306990016,1.07402045431061,1.94142517638965,0.076909955394955,1.01793946801519,1.996170405182,0.0751352215000554
10000,0.8,1.5,1,100,15,3,8000003,1.01472393674808,1.99563656836744,0.0741057149495867,1.01638335839454,1.99979736121941,0.0523351552615413,1.34121834744924,1.49898907363411,0.129158714539311,1.02316232121873,1.98971777746766,0.0522395504735512
10000,0.4,1,1.5,100,15,3,8000003,0.993611997637546,2.00096757235073,0.0936760503179277,1.01640531612429,1.99053675399958,0.0799679718552886,1.00380390332104,1.99795861136654,0.0910831434566165,1.01713839627229,1.99117488038884,0.0799944608608019
10000,0.8,1,1.5,100,15,3,8000003,0.993611997637546,2.00096757235073,0.0936760503179273,1.02041829907738,1.94226776241029,0.0662579217817838,0.980941196920291,2.01701916483277,0.0568447298660969,1.00950384840728,1.99350395202174,0.0653338775906266
10000,0.4,1.5,1.5,100,15,3,8000003,1.01956333441148,1.99483167071044,0.0658520335639529,1.00493930441865,2.00329523302127,0.0694170238038875,1.08585864664204,1.92953776222218,0.0697889610214148,1.00530813120911,2.00335918833193,0.0695076219808629
10000,0.8,1.5,1.5,100,15,3,8000003,1.01956333441148,1.99483167071044,0.065852033563953,1.00877180126666,1.94634376687294,0.0668725104134803,1.33676232187944,1.46852300253266,0.0948345673881172,1.01888960783987,1.92814760675235,0.0675918760339168
