"n","q","x.shape","c.shape","mx","mc","my","seed","Bor.(Intercept)","Bor.W","Bor3","Bcc.(Intercept)","Bcc.W","Bcc3","Bml.(Intercept)","Bml.W","Bml3","Bsp.(Intercept)","Bsp.W","Bsp3"
10000,0.4,1,1,100,15,3,3000001,0.998274103520868,1.99969332761991,0.0996324004981709,0.99397950020534,2.02345537717251,0.0959459791195412,0.994162383265445,2.01816062566356,0.0984435683085437,0.994998452964228,2.02428134928231,0.0959839524012888
10000,0.8,1,1,100,15,3,3000001,0.998274103520868,1.99969332761991,0.0996324004982199,0.953022443713914,2.17446552331794,0.0596460682167857,0.975237542657544,2.07043650815977,0.0710108900213617,0.953364065962421,2.18414074353324,0.0590259903091744
10000,0.4,4,1,100,15,3,3000001,1.02340705044467,1.97258319150087,0.0901318096104896,1.03987433263997,1.9596697226486,0.0713457142785968,1.34590612544176,1.53488726961733,0.0803302480259395,1.03750436472154,1.96163932291711,0.0715966937686752
10000,0.8,4,1,100,15,3,3000001,1.02340705044467,1.97258319150087,0.0901318096104896,1.02262581882335,1.96774497704164,0.083002418985961,5.7463551507929,-4.23024791974845,-6.75974547373181,0.972659330528358,2.02926059083549,0.0867177304461324
10000,0.4,1,4,100,15,3,3000001,1.00901684163167,1.98740344149108,0.0834145809060483,1.02263672793623,1.98321990697486,0.068008521547573,1.0251663372481,1.95523241997392,0.0819050612080207,1.02142351136309,1.9872985408327,0.0680054941415955
10000,0.8,1,4,100,15,3,3000001,1.00901684163167,1.98740344149108,0.0834145809136681,0.989398954480635,2.0365326706534,0.101142646606384,0.998176394769961,2.03984268051594,0.0504520780076084,0.98371284497069,2.06233910492441,0.101531396939151
10000,0.4,4,4,100,15,3,3000001,1.02943489919067,1.9783663356172,0.0981797534701391,1.01157458907437,1.99822106623785,0.0846933090513886,1.4381436441276,1.37131275785224,0.0972337256991179,1.00990513850632,2.00016191007606,0.0848049253153828
10000,0.8,4,4,100,15,3,3000001,1.02943489919067,1.9783663356172,0.0981797534701392,1.04700017951723,1.8755868546648,0.0592544070771028,-3.79469916162577,10.2757008499875,-6.3431667073496,0.917487142788768,2.11726095939249,0.0636742930181632
10000,0.4,1,1,100,15,3,3000002,1.02168433499555,1.98817348679071,0.112820874643264,1.01776066884599,2.00009028632364,0.115252962899698,1.02610093917704,1.97454574358022,0.115887803971011,1.01905890178386,2.00146254695567,0.1151064163786
10000,0.8,1,1,100,15,3,3000002,1.02168433499555,1.98817348679071,0.112820874643264,1.03443788812261,1.90067134583045,0.0636561002191263,1.01637770173368,1.93105064818121,0.0920289749243318,1.03412646946427,1.95671415901417,0.0597994041711687
10000,0.4,4,1,100,15,3,3000002,1.0011927305394,2.01013894491534,0.107236689512866,0.998780652087667,2.0245687929124,0.10432879520886,1.41726719173567,1.47072991494823,0.119209484013479,0.993996885050906,2.02902642186206,0.104661878273495
10000,0.8,4,1,100,15,3,3000002,1.0011927305394,2.01013894491534,0.107236689512868,1.03232946993494,1.96346299316084,0.132871302982477,-3.60677057477365,8.4807218296652,-6.26891287436365,0.939693746125951,2.08633887658066,0.138784104110391
10000,0.4,1,4,100,15,3,3000002,0.976574241249989,2.00387925918972,0.0984301401621914,0.970581893798325,2.02276372544932,0.106101412248818,0.980842074361525,1.99522106059434,0.100918468756025,0.969365700354291,2.02774595640836,0.106277326454405
10000,0.8,1,4,100,15,3,3000002,0.976574241249989,2.00387925918972,0.098430140162186,1.02378279646116,1.68152081685539,0.0943151956488663,0.984997142354158,1.96962501167143,0.0968786276659721,0.998252327653098,1.90495845502614,0.0933090778153325
10000,0.4,4,4,100,15,3,3000002,1.02980643017186,1.95709509545609,0.116154762225758,1.02848855370627,1.96173655094062,0.115415252893767,1.54359485434458,1.22840183295179,0.131181297171456,1.02460026435314,1.9664916348911,0.115556422235911
10000,0.8,4,4,100,15,3,3000002,1.02980643017186,1.95709509545609,0.116154762225951,1.00080167293492,2.00959590659664,0.116511834503345,1.590410970961,0.86380514642735,0.139597909084505,0.778403772150712,2.42584829911294,0.126445018808447
10000,0.4,1,1,100,15,3,3000003,1.01503786926912,1.99200613751987,0.0767473819103528,1.00340506126861,2.01458222846787,0.091939430461639,1.02010182141037,1.9807152826074,0.0835791980352391,1.00454851170635,2.01512601371197,0.0919561296468479
10000,0.8,1,1,100,15,3,3000003,1.01503786926912,1.99200613751987,0.0767473819104902,0.980849761153344,2.02610346680841,0.139928028832077,1.01763271073537,2.00375569983663,0.0963116979516034,0.979114616154588,2.02694607525277,0.139483828100869
10000,0.4,4,1,100,15,3,3000003,0.972519209476608,2.01548348168909,0.0924865917578328,0.980006161499517,2.00616285671052,0.0786990526185057,1.34210750273228,1.52215367674256,0.0867333177391211,0.977371547490619,2.00839173607386,0.078939739339072
10000,0.8,4,1,100,15,3,3000003,0.972519209476608,2.01548348168909,0.0924865917578329,1.08546046507584,1.82604113797266,0.0775496417517258,1.56199806355513,1.01521622221844,0.120101147240465,1.07330952640039,1.83182785194649,0.080990547370819
10000,0.4,1,4,100,15,3,3000003,1.00971689762831,1.99817178731055,0.106099584881001,1.03616242302803,1.95019912243729,0.105327632894208,1.02541588162105,1.96895429543774,0.103216006525559,1.03527095860266,1.95406138116515,0.105441605453623
10000,0.8,1,4,100,15,3,3000003,1.00971689762831,1.99817178731055,0.106099584876953,1.00586897226541,2.11801742038146,0.0672089011525643,1.01836319661883,1.96894277901457,0.0753178469150114,1.01293961805045,2.0898555523465,0.0647921892695226
10000,0.4,4,4,100,15,3,3000003,1.01397401869574,1.98691712005187,0.11879176627855,0.963628706871037,2.04575423130158,0.0901899804323335,1.44418899412471,1.35574227740066,0.102329454741154,0.961080995638092,2.04877309468106,0.0903073478092762
10000,0.8,4,4,100,15,3,3000003,1.01397401869574,1.98691712005187,0.118791766278565,0.956602482324778,2.04153439726866,0.114187700776306,4.10744844452582,-2.79299748540856,-8.28840164414581,0.743243652562738,2.43321148406519,0.123244384006598
