"n","q","B2","s2","x.mean","x.shape","c.shape","specify.x.gamma","specify.c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bcc.B1","Bcc.B2","Bcc.B3","Bml.B1","Bml.B2","Bml.B3","Bsp.B1","Bsp.B2","Bsp.B3"
10000,0.6,0.2,0.09,0.5,1.1,1.1,1,1,100,15,3,7000001,1.00313016114566,0.187161159061021,-2.39477940974757,1.00058266762613,0.189350242316246,-2.40515814019573,1.00046223193184,0.192049214288656,-2.39959014351163,1.00035259943749,0.191254264660108,-2.4051221692527
10000,0.8,0.2,0.09,0.5,1.1,1.1,1,1,100,15,3,7000001,1.00313016114566,0.187161159061021,-2.39477940987542,0.999207846622586,0.254254671625222,-2.40779413504462,1.00477679496823,0.183106585633309,-2.39082546985663,1.00294733333944,0.227625639421281,-2.40796601859499
10000,0.6,0.2,0.09,0.5,1.1,1.1,0,1,100,15,3,7000001,1.00313016114566,0.187161159061021,-2.39477940974757,1.00058266762613,0.189350242316246,-2.40515814019573,1.01666955980429,0.0747506671161339,-2.38559695650074,1.00538686987649,0.170228705343822,-2.40533150923656
10000,0.8,0.2,0.09,0.5,1.1,1.1,0,1,100,15,3,7000001,1.00313016114566,0.187161159061021,-2.39477940987542,0.999207846622586,0.254254671625222,-2.40779413504462,1.01404210890345,0.0646896092757675,-2.37126520878785,1.00908623277802,0.22153551104406,-2.40811575322928
10000,0.6,0.2,0.09,0.5,1.1,1.1,1,0,100,15,3,7000001,1.00313016114566,0.187161159061021,-2.39477940974757,1.00058266762613,0.189350242316246,-2.40515814019573,1.00046223193184,0.192049214288656,-2.39959014351163,1.00030903529198,0.192005089509224,-2.40510482103667
10000,0.8,0.2,0.09,0.5,1.1,1.1,1,0,100,15,3,7000001,1.00313016114566,0.187161159061021,-2.39477940987542,0.999207846622586,0.254254671625222,-2.40779413504462,1.00477679496823,0.183106585633309,-2.39082546985663,1.00301764079003,0.228442570646766,-2.40805889894661
10000,0.6,0.2,0.09,0.5,1.1,1.1,0,0,100,15,3,7000001,1.00313016114566,0.187161159061021,-2.39477940974757,1.00058266762613,0.189350242316246,-2.40515814019573,1.01666955980429,0.0747506671161339,-2.38559695650074,1.0061631522826,0.166949184262893,-2.40545606536162
10000,0.8,0.2,0.09,0.5,1.1,1.1,0,0,100,15,3,7000001,1.00313016114566,0.187161159061021,-2.39477940987542,0.999207846622586,0.254254671625222,-2.40779413504462,1.01404210890345,0.0646896092757675,-2.37126520878785,1.00848132899769,0.22798509262688,-2.40846983617456
10000,0.6,0.2,0.09,0.5,1.1,1.1,1,1,100,15,3,7000002,0.99802394791282,0.199188224029246,-2.40723127875574,0.994094998302107,0.18344988381112,-2.43754224708166,0.989301287968281,0.214151628492979,-2.42550723537361,0.993306927178643,0.188043763814353,-2.43747372905627
10000,0.8,0.2,0.09,0.5,1.1,1.1,1,1,100,15,3,7000002,0.99802394791282,0.199188224029246,-2.4072312787108,0.989724751947223,0.177256426907104,-2.45580401696342,0.985363273913564,0.2223001747888,-2.43445439563089,0.98620181318053,0.214207238396406,-2.45593949459367
10000,0.6,0.2,0.09,0.5,1.1,1.1,0,1,100,15,3,7000002,0.99802394791282,0.199188224029246,-2.40723127875574,0.994094998302107,0.18344988381112,-2.43754224708166,1.00695794185526,0.0812689592050419,-2.41237707608689,0.998118267113888,0.168492465585578,-2.43779116502793
10000,0.8,0.2,0.09,0.5,1.1,1.1,0,1,100,15,3,7000002,0.99802394791282,0.199188224029246,-2.4072312787108,0.989724751947223,0.177256426907104,-2.45580401696342,2.27034144489703,-7.87775130662464,-4.41496310295575,0.988411481875018,0.240635018762301,-2.45611239540964
10000,0.6,0.2,0.09,0.5,1.1,1.1,1,0,100,15,3,7000002,0.99802394791282,0.199188224029246,-2.40723127875574,0.994094998302107,0.18344988381112,-2.43754224708166,0.989301287968281,0.214151628492979,-2.42550723537361,0.993187496659902,0.189377083050494,-2.43744276049387
10000,0.8,0.2,0.09,0.5,1.1,1.1,1,0,100,15,3,7000002,0.99802394791282,0.199188224029246,-2.4072312787108,0.989724751947223,0.177256426907104,-2.45580401696342,0.985363273913564,0.2223001747888,-2.43445439563089,0.986075084394153,0.217642561507857,-2.45603364200705
10000,0.6,0.2,0.09,0.5,1.1,1.1,0,0,100,15,3,7000002,0.99802394791282,0.199188224029246,-2.40723127875574,0.994094998302107,0.18344988381112,-2.43754224708166,1.00695794185526,0.0812689592050419,-2.41237707608689,0.998947593648396,0.165099572905381,-2.43796233667969
10000,0.8,0.2,0.09,0.5,1.1,1.1,0,0,100,15,3,7000002,0.99802394791282,0.199188224029246,-2.4072312787108,0.989724751947223,0.177256426907104,-2.45580401696342,2.27034144489703,-7.87775130662464,-4.41496310295575,0.987595648160245,0.248451449516101,-2.45641667357368
10000,0.6,0.2,0.09,0.5,1.1,1.1,1,1,100,15,3,7000003,0.999471225465406,0.202892462775184,-2.4156054111724,1.00259827545154,0.18685086169461,-2.42851877170722,0.995612232746255,0.21191136846069,-2.42278184673899,1.00187232836377,0.191449979382162,-2.42843901344772
10000,0.8,0.2,0.09,0.5,1.1,1.1,1,1,100,15,3,7000003,0.999471225465406,0.202892462775184,-2.41560541080545,1.0006693623776,0.239393394763332,-2.45672156491636,0.994103772815776,0.215862352298017,-2.42517017536921,1.00180115534534,0.239837495429505,-2.45696897921023
10000,0.6,0.2,0.09,0.5,1.1,1.1,0,1,100,15,3,7000003,0.999471225465406,0.202892462775184,-2.4156054111724,1.00259827545154,0.18685086169461,-2.42851877170722,-7.47666924472921,8.93593761745621,-5.62569003251578,1.00662451600302,0.171219011847555,-2.42874071178791
10000,0.8,0.2,0.09,0.5,1.1,1.1,0,1,100,15,3,7000003,0.999471225465406,0.202892462775184,-2.41560541080545,1.0006693623776,0.239393394763332,-2.45672156491636,2.45714495484979,-10.757295077546,-12.0789499330589,1.00882246046073,0.217532888564301,-2.45724114800157
10000,0.6,0.2,0.09,0.5,1.1,1.1,1,0,100,15,3,7000003,0.999471225465406,0.202892462775184,-2.4156054111724,1.00259827545154,0.18685086169461,-2.42851877170722,0.995612232746255,0.21191136846069,-2.42278184673899,1.00174372171515,0.192974056550809,-2.42840351702787
10000,0.8,0.2,0.09,0.5,1.1,1.1,1,0,100,15,3,7000003,0.999471225465406,0.202892462775184,-2.41560541080545,1.0006693623776,0.239393394763332,-2.45672156491636,0.994103772815776,0.215862352298017,-2.42517017536921,1.0019411794537,0.241069624656033,-2.45708046803299
10000,0.6,0.2,0.09,0.5,1.1,1.1,0,0,100,15,3,7000003,0.999471225465406,0.202892462775184,-2.4156054111724,1.00259827545154,0.18685086169461,-2.42851877170722,-7.47666924472921,8.93593761745621,-5.62569003251578,1.00749707064381,0.167730160107004,-2.42895974474181
10000,0.8,0.2,0.09,0.5,1.1,1.1,0,0,100,15,3,7000003,0.999471225465406,0.202892462775184,-2.41560541080545,1.0006693623776,0.239393394763332,-2.45672156491636,2.45714495484979,-10.757295077546,-12.0789499330589,1.00801408873009,0.227862546574981,-2.45774738613325
10000,0.6,0.2,0.09,0.5,1.1,1.1,1,1,100,15,3,7000004,1.00044085611927,0.198824128303255,-2.40597899984386,0.993879346546883,0.200600854877302,-2.42666238061983,0.994947155534916,0.209332683170165,-2.41513543936126,0.993470212511586,0.203627316224746,-2.42659147674907
10000,0.8,0.2,0.09,0.5,1.1,1.1,1,1,100,15,3,7000004,1.00044085611927,0.198824128303255,-2.40597899984385,0.99456023128374,0.217411301566707,-2.44144160326995,0.998501873624012,0.203342472268229,-2.40802738700314,0.99456046108353,0.224108920992401,-2.44180907720433
10000,0.6,0.2,0.09,0.5,1.1,1.1,0,1,100,15,3,7000004,1.00044085611927,0.198824128303255,-2.40597899984386,0.993879346546883,0.200600854877302,-2.42666238061983,-0.283659326950149,4.70535921344473,-8.538835408424,0.996331754138476,0.194069527165258,-2.42710241543612
10000,0.8,0.2,0.09,0.5,1.1,1.1,0,1,100,15,3,7000004,1.00044085611927,0.198824128303255,-2.40597899984385,0.99456023128374,0.217411301566707,-2.44144160326995,1.23062644542579,-0.0652609248676146,-7.31046526493955,1.00137455743907,0.210472052013931,-2.44192374108533
10000,0.6,0.2,0.09,0.5,1.1,1.1,1,0,100,15,3,7000004,1.00044085611927,0.198824128303255,-2.40597899984386,0.993879346546883,0.200600854877302,-2.42666238061983,0.994947155534916,0.209332683170165,-2.41513543936126,0.993385431644641,0.20496795879007,-2.42657404846024
10000,0.8,0.2,0.09,0.5,1.1,1.1,1,0,100,15,3,7000004,1.00044085611927,0.198824128303255,-2.40597899984385,0.99456023128374,0.217411301566707,-2.44144160326995,0.998501873624012,0.203342472268229,-2.40802738700314,0.994515598028886,0.227027820218369,-2.44196279955493
10000,0.6,0.2,0.09,0.5,1.1,1.1,0,0,100,15,3,7000004,1.00044085611927,0.198824128303255,-2.40597899984386,0.993879346546883,0.200600854877302,-2.42666238061983,-0.283659326950149,4.70535921344473,-8.538835408424,0.997835852564244,0.187638615623966,-2.42735866486203
10000,0.8,0.2,0.09,0.5,1.1,1.1,0,0,100,15,3,7000004,1.00044085611927,0.198824128303255,-2.40597899984385,0.99456023128374,0.217411301566707,-2.44144160326995,1.23062644542579,-0.0652609248676146,-7.31046526493955,1.0009289796747,0.215794454060823,-2.44235858429971
10000,0.6,0.2,0.09,0.5,1.1,1.1,1,1,100,15,3,7000005,1.00471711192198,0.201619316708228,-2.38760092153573,1.00795563387089,0.188931435092498,-2.4085280603269,1.00334233651467,0.205596721034798,-2.38848970818145,1.00735035772742,0.193118249497798,-2.40846039886422
10000,0.8,0.2,0.09,0.5,1.1,1.1,1,1,100,15,3,7000005,1.00471711192198,0.201619316708228,-2.3876009215357,1.00799150217103,0.209646921639623,-2.39761444745528,1.00636344990489,0.201050428184895,-2.38223159326836,1.00821240695029,0.214391161930876,-2.39786289972409
10000,0.6,0.2,0.09,0.5,1.1,1.1,0,1,100,15,3,7000005,1.00471711192198,0.201619316708228,-2.38760092153573,1.00795563387089,0.188931435092498,-2.4085280603269,1.02230705316743,0.0734873210824561,-2.37449611907918,1.01110441243539,0.179259967532695,-2.40892496883901
10000,0.8,0.2,0.09,0.5,1.1,1.1,0,1,100,15,3,7000005,1.00471711192198,0.201619316708228,-2.3876009215357,1.00799150217103,0.209646921639623,-2.39761444745528,-4.06617554515869,0.635313203913961,-314.851522566492,1.01415866483374,0.212956835757606,-2.39814508430012
10000,0.6,0.2,0.09,0.5,1.1,1.1,1,0,100,15,3,7000005,1.00471711192198,0.201619316708228,-2.38760092153573,1.00795563387089,0.188931435092498,-2.4085280603269,1.00334233651467,0.205596721034798,-2.38848970818145,1.00727394476197,0.194395240187148,-2.40843980091178
10000,0.8,0.2,0.09,0.5,1.1,1.1,1,0,100,15,3,7000005,1.00471711192198,0.201619316708228,-2.3876009215357,1.00799150217103,0.209646921639623,-2.39761444745528,1.00636344990489,0.201050428184895,-2.38223159326836,1.00820775586741,0.216821675351808,-2.39798764983139
10000,0.6,0.2,0.09,0.5,1.1,1.1,0,0,100,15,3,7000005,1.00471711192198,0.201619316708228,-2.38760092153573,1.00795563387089,0.188931435092498,-2.4085280603269,1.02230705316743,0.0734873210824561,-2.37449611907918,1.01239190336555,0.17381263846926,-2.40914031376602
10000,0.8,0.2,0.09,0.5,1.1,1.1,0,0,100,15,3,7000005,1.00471711192198,0.201619316708228,-2.3876009215357,1.00799150217103,0.209646921639623,-2.39761444745528,-4.06617554515869,0.635313203913961,-314.851522566492,1.01354012413245,0.219652842354745,-2.39856519597449
