"mx","mc","my","Seff1","Seff2","Seff3","Time"
20,10,5,-5.7076180459597,4.1688367544896,56.3818591146191,0.293229818344116
30,10,5,-5.24013424787769,3.19659316093997,56.2271903204688,0.372859001159668
40,10,5,-6.46548184512466,2.27574353598653,56.7605523893002,0.519268989562988
50,10,5,-7.22270831341681,1.61708855404587,56.59227584673,0.679372072219849
60,10,5,-8.02918218747337,1.47051687137435,57.1433727927045,0.862770080566406
70,10,5,-8.61149388635451,1.10853809893244,56.9627646155843,1.12180614471436
80,10,5,-9.16392847359363,0.85881120078848,57.1883180705698,1.41220998764038
90,10,5,-9.55649586202163,0.627061859559438,57.3013176888544,1.8154890537262
100,10,5,-10.4254176102373,0.43827480887828,57.5319338489948,2.2441041469574
110,10,5,-11.0670924288291,0.374129168314994,57.6466166181503,2.75840401649475
120,10,5,-11.6365940657539,0.22500186417937,57.7115727008927,3.33784198760986
20,15,5,-0.681994388161593,5.16626593720643,56.5032206954049,0.326992988586426
30,15,5,-10.666395984563,2.40260437310876,56.5312300030699,0.447674036026001
40,15,5,-12.0420978308102,1.53691021838271,57.1113927823808,0.613991022109985
50,15,5,-11.3027126284534,1.35160416682436,56.8288780371473,0.862010955810547
60,15,5,-13.0802103106019,0.860943998109088,57.4241715971548,1.4975152015686
70,15,5,-12.7829558438026,0.738875864464699,57.2201335136098,2.26965808868408
80,15,5,-13.5624129358029,0.474488726106027,57.4723006622825,2.05469989776611
90,15,5,-13.8149554720977,0.333467939877248,57.7541959556736,2.56166291236877
100,15,5,-14.1664959522898,0.19162211213468,57.7761613498111,3.38884019851685
110,15,5,-14.5067204426428,0.0997138680028158,57.8705112641148,3.95308899879456
120,15,5,-15.0036117889791,-0.0255433355165098,57.9532600399687,4.73504900932312
20,20,5,-8.10135409397246,3.45096650849552,56.4032904262991,0.353718042373657
30,20,5,-12.3401607265767,2.0936372130835,56.6573278316713,0.490397930145264
40,20,5,-12.2475262535117,1.49742885216827,56.9074893824129,0.736474990844727
50,20,5,-11.5060686439612,1.3100242736775,56.9887269675075,1.04558992385864
60,20,5,-14.0494157169458,0.805917770183842,57.2965050796875,1.40915107727051
70,20,5,-13.9253976463313,0.549876539929195,57.482561085175,1.89388608932495
80,20,5,-14.8993689815051,0.30602755117487,57.557568282575,2.60635495185852
90,20,5,-14.7855575068079,0.23880550813776,57.7149218904514,3.53083395957947
100,20,5,-14.8881324804504,0.121972945975254,57.826798733414,4.15387201309204
110,20,5,-15.6552541756915,-0.0208746354452682,57.9420174174055,5.13111591339111
120,20,5,-15.8031742518323,-0.10719795289493,57.9996488908531,6.18150997161865
