"n","q","x.shape","c.shape","mx","mc","my","seed","Bor1","Bor2","Bcc1","Bcc2","Bml1","Bml2","Bsp1","Bsp2"
10000,0.4,1,1,100,15,2,3000001,0.998354422274238,1.99883039743372,0.994259678677231,2.08945529860252,0.995983942811706,2.02035043521453,0.994575021135371,2.08939708243768
10000,0.8,1,1,100,15,2,3000001,0.998354422274238,1.99883039743372,0.955208657547037,2.66538539838723,0.985757537316608,2.06118508129634,0.974017373694399,2.28638987917336
10000,0.4,4,1,100,15,2,3000001,1.02231774692358,1.89543639511826,1.03801868444334,1.84618635732615,1.08764298560177,1.50755689460469,1.03748158817147,1.84751956102291
10000,0.8,4,1,100,15,2,3000001,1.02231774692358,1.89543639511826,1.02157287179911,1.87698416917578,1.13390462190948,1.29009436615992,1.02595858477008,1.83143826348306
10000,0.4,1,4,100,15,2,3000001,1.00859722116894,1.951958610834,1.02158327323012,1.93600323622586,1.01928832847064,1.90469746623726,1.02109987593905,1.94287648690741
10000,0.8,1,4,100,15,2,3000001,1.00859722116894,1.951958610834,0.989892299690397,2.13933013901295,1.00994026293972,1.95978315155413,0.992325209999334,2.01128707243479
10000,0.4,4,4,100,15,2,3000001,1.02806507519652,1.91749244137081,1.0110359376683,1.99321541283618,1.09085012942052,1.47455021928555,1.01159344327979,1.98883897076509
10000,0.8,4,4,100,15,2,3000001,1.02806507519652,1.91749244137081,1.04481291285751,1.52550688125004,1.07685955314037,1.44279737954671,1.04358056355694,1.52975534140194
10000,0.4,1,1,100,15,2,3000002,1.02067520219093,1.9548954483749,1.01693413330463,2.00034433852765,1.0187341951848,1.95768462102887,1.01701741585592,2.00253514554722
10000,0.8,1,1,100,15,2,3000002,1.02067520219093,1.9548954483749,1.03283523797753,1.62117537683686,1.00055750618412,2.03579418465165,1.02245690152813,1.94014759011326
10000,0.4,4,1,100,15,2,3000002,1.00113722394837,2.0386684186848,0.998837397382318,2.09370169961957,1.09049864974976,1.53614017277412,0.99781771972495,2.09627513145841
10000,0.8,4,1,100,15,2,3000002,1.00113722394837,2.0386684186848,1.03082494011311,1.86065332342342,1.12829714926672,1.33691474447205,1.03805190018745,1.79892888340794
10000,0.4,1,4,100,15,2,3000002,0.977664415407171,2.01479491404555,0.971950936290249,2.08681744243115,0.979200473724275,2.01803713436379,0.9718779601933,2.09004007156263
10000,0.8,1,4,100,15,2,3000002,0.977664415407171,2.01479491404555,1.02267600669336,0.785368053672478,-13.9154429226759,240.052456772392,0.986539601063583,1.94654878036291
10000,0.4,4,4,100,15,2,3000002,1.02841931608783,1.83636711448891,1.02716277018065,1.85406893114551,1.10888419564579,1.31693333893402,1.02834100754981,1.84653463499113
10000,0.8,4,4,100,15,2,3000002,1.02841931608783,1.83636711448891,1.00076436515226,2.03659735179917,1.10277331968059,1.26576408642361,1.03673514453412,1.75440444211425
10000,0.4,1,1,100,15,2,3000003,1.01433804577007,1.96951260472648,1.00324659853371,2.05561443724779,1.02470735756492,1.91418533342448,1.00335309527113,2.05473281312352
10000,0.8,1,1,100,15,2,3000003,1.01433804577007,1.96951260472648,0.981740963684595,2.09955471620575,1.0240549253016,1.91128257533905,0.977802849622553,2.03789287176947
10000,0.4,4,1,100,15,2,3000003,0.973798094313051,2.05905168216726,0.980936622974372,2.02350421326546,1.0508601369597,1.61050316027438,0.980198472756135,2.02537728599032
10000,0.8,4,1,100,15,2,3000003,0.973798094313051,2.05905168216726,1.08148335630934,1.33654693195679,1.1133708919844,1.33941360212378,1.07532061372919,1.3702038272978
10000,0.4,1,4,100,15,2,3000003,1.00926469837212,1.9930274703817,1.0344795174937,1.81006690532943,1.01784020355132,1.9417851379787,1.03302833885276,1.82876349353703
10000,0.8,1,4,100,15,2,3000003,1.00926469837212,1.9930274703817,1.00559584549239,2.45010078085196,1.003682288016,1.99043693783527,1.02437157344667,2.05517351135679
10000,0.4,4,4,100,15,2,3000003,1.01332370404781,1.95010385363949,0.965321332679048,2.17449979138298,1.05977956057681,1.55690470330787,0.966065470218104,2.16890914616032
10000,0.8,4,4,100,15,2,3000003,1.01332370404781,1.95010385363949,0.958622090430554,2.15840597585012,1.05292263001989,1.49462615885628,0.982667356181558,1.96582304640903
10000,0.4,1,1,100,15,2,3000004,0.992929479789275,2.03179801281306,0.977108461832043,2.17053390248193,0.985642718253383,2.06126437719341,0.977350019810027,2.16960313196289
10000,0.8,1,1,100,15,2,3000004,0.992929479789275,2.03179801281306,0.945226040861478,2.59103101555565,0.990572457713209,2.02185735185902,0.958441842280466,2.24628222050993
10000,0.4,4,1,100,15,2,3000004,1.00821809382657,1.97503425834713,0.999226475815266,2.03399443947019,1.09039114628738,1.50612896590522,0.998674624761877,2.03500949611286
10000,0.8,4,1,100,15,2,3000004,1.00821809382657,1.97503425834713,1.00024292093939,2.01267930062256,1.13490988281,1.28816052576237,1.00882019450381,1.93905978494133
10000,0.4,1,4,100,15,2,3000004,1.00905773311714,1.96812230772061,1.00345423952603,1.99050492676158,1.00471229954526,1.97334967276904,1.00305579999934,1.9957415958626
10000,0.8,1,4,100,15,2,3000004,1.00905773311714,1.96812230772061,0.99860777845257,2.02994241591254,1.00599041508181,1.97103064664817,0.998673198790052,1.99820294452777
10000,0.4,4,4,100,15,2,3000004,0.976292052291459,2.1362955941703,0.977298178365512,2.12550675297725,1.07488072152703,1.52362516816066,0.97783821085612,2.12078862648081
10000,0.8,4,4,100,15,2,3000004,0.976292052291459,2.1362955941703,1.01100500830139,1.83342776123662,1.08695069800055,1.39119287489568,1.02625388502301,1.70739924521922
