"n","q","x.shape","c.shape","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bcc.B1","Bcc.B2","Bcc.B3","Bml.B1","Bml.B2","Bml.B3","Bsp.B1","Bsp.B2","Bsp.B3"
10000,0.4,1,1,100,15,3,1000001,0.979095068280248,2.0161175697985,0.0849077218061245,0.973674249889447,2.04156494148737,0.0869350505266415,0.978875874317819,2.02751434250338,0.0877055491931516,0.974838412895498,2.04167635993396,0.0869338820072692
10000,0.8,1,1,100,15,3,1000001,0.979095068280248,2.0161175697985,0.0849077218060211,0.953148006537078,2.14454088218716,0.0628520541412141,0.978584245816306,1.97096960177133,0.0699785835204939,0.958842482094028,2.13832990352081,0.0595617084278258
10000,0.4,1.25,1,100,15,3,1000001,0.987214477325663,2.00723249478669,0.084626346204835,0.997762553959313,1.99922949594351,0.0667428051608182,1.03275882245954,1.92094816968091,0.0616089179674345,0.998532465580017,1.99885778604441,0.0667862166749192
10000,0.8,1.25,1,100,15,3,1000001,0.987214477325663,2.00723249478669,0.0846263462106828,1.0167599192181,1.94362479857904,0.0276586704326013,1.09863223658397,1.60199234576199,0.0535212636914134,1.04069201576061,1.86773250108105,0.0271058228809706
10000,0.4,1,1.25,100,15,3,1000001,1.00798971465803,1.9866753387084,0.0821298483617837,1.04011636885562,1.9273069194485,0.0680713590763789,1.02238661789386,1.95275729893242,0.0833935159887559,1.04081942438656,1.928365084674,0.0679813123912126
10000,0.8,1,1.25,100,15,3,1000001,1.00798971465803,1.9866753387084,0.0821298483617839,1.07077456179681,1.7448752321972,0.108117925827045,1.02140322895532,1.94789041517724,0.0947006962984795,1.0544354923431,1.87365586445317,0.106270936479027
10000,0.4,1.25,1.25,100,15,3,1000001,1.02151880650346,1.99295895586821,0.087885894971623,1.02085539255564,2.01632709866683,0.0945388795198441,1.07470810988905,1.90510697591651,0.0909189599625449,1.02146324704258,2.01591709029966,0.0945527990880339
10000,0.8,1.25,1.25,100,15,3,1000001,1.02151880650346,1.99295895586821,0.0878858949715546,1.03206052798967,2.06109854755687,0.100198093440883,1.157228553852,1.59887356871288,0.110832675834211,1.06388290461555,1.93514462657325,0.100081674015328
10000,0.4,1,1,100,15,3,1000002,0.979584412479285,2.01499050215355,0.0949092657694447,0.98070740645909,2.00560876727928,0.0919683558302733,0.976380979894505,2.02286873531718,0.0921358121114764,0.98180948439958,2.00789403719139,0.092134087784638
10000,0.8,1,1,100,15,3,1000002,0.979584412479285,2.01499050215355,0.0949092657694663,0.987377764701907,2.0291302435849,0.0911251640659505,0.966143340372757,2.01017364356437,0.089992584446589,0.985007879472772,2.09041321616472,0.0892182333965445
10000,0.4,1.25,1,100,15,3,1000002,1.01428688580048,1.9863683995914,0.0947003847013662,1.02989518713949,1.98011832220804,0.0724905780421767,1.05603878086198,1.91126746321947,0.0739349204677526,1.03115469620768,1.98056683309338,0.0726428408414208
10000,0.8,1.25,1,100,15,3,1000002,1.01428688580048,1.9863683995914,0.094700384701759,0.982062701190639,2.02901068608831,0.0836033203909359,1.14075823828253,1.55242918396553,0.073510122540417,1.00763974149194,1.9264923880038,0.0846237476413729
10000,0.4,1,1.25,100,15,3,1000002,1.00838869004949,1.99226830651906,0.0955020020315736,1.00343674035206,1.9950075189129,0.0934385039073739,0.996260030253465,1.98917853144717,0.100696098845753,1.00430530716998,1.99735661783919,0.0933985603471596
