"n","q","seed","B.or.B1","B.or.B2","B.or.B3","B.or.B4","B.cc.B1","B.cc.B2","B.cc.B3","B.cc.B4","B.ml.0.B1","B.ml.0.B2","B.ml.0.B3","B.ml.0.B4","B.ml.1.B1","B.ml.1.B2","B.ml.1.B3","B.ml.1.B4","B.ml.2.B1","B.ml.2.B2","B.ml.2.B3","B.ml.2.B4","B.sp.00.B1","B.sp.00.B2","B.sp.00.B3","B.sp.00.B4","B.sp.01.B1","B.sp.01.B2","B.sp.01.B3","B.sp.01.B4","B.sp.10.B1","B.sp.10.B2","B.sp.10.B3","B.sp.10.B4","B.sp.11.B1","B.sp.11.B2","B.sp.11.B3","B.sp.11.B4","B.sp.22.B1","B.sp.22.B2","B.sp.22.B3","B.sp.22.B4","V.or1","V.or2","V.or3","V.or4","V.cc1","V.cc2","V.cc3","V.cc4","V.ml.01","V.ml.02","V.ml.03","V.ml.04","V.ml.11","V.ml.12","V.ml.13","V.ml.14","V.ml.21","V.ml.22","V.ml.23","V.ml.24","V.sp.001","V.sp.002","V.sp.003","V.sp.004","V.sp.011","V.sp.012","V.sp.013","V.sp.014","V.sp.101","V.sp.102","V.sp.103","V.sp.104","V.sp.111","V.sp.112","V.sp.113","V.sp.114","V.sp.221","V.sp.222","V.sp.223","V.sp.224"
8000,0.4,1000001,0.982713362601039,10.0495901501718,2.01862874957154,1.41223864079485e-05,0.969411462037793,10.0952438876743,2.0156332167009,0.00152608317325778,1.27782759446627,9.57732557934719,1.74425341337939,0.0158857654777048,0.985162074767708,10.0560229111649,2.0114105847164,0.00880453904442021,0.928416718829938,10.1481203926904,2.05735056232872,0.0172084670582016,0.970183315982363,10.0931493242378,2.01542207288958,0.00151241515147462,0.971081676603274,10.0914988200944,2.01468690353695,0.00151669548036647,0.969656064135074,10.0946147241566,2.01555749371338,0.00149735228490888,0.969842211954851,10.0942126003031,2.01547999854893,0.0014941275263275,0.968291640136292,10.0968365238615,2.01720816951729,0.00147705133355315,0.0353118897307628,0.0506266535984974,0.025517814567608,0.0157223030102806,0.0469296821695721,0.0822586169911827,0.0354523132855217,0.0200301657727871,0.0390036703173259,0.0586600134222353,0.0303530542138522,0.0184560946772381,0.0392545768696086,0.0592557818072953,0.0299310302926627,0.018388331319515,0.0385210081058362,0.0580558414536819,0.0291154173234492,0.0182835941011068,0.0469246242916695,0.0822381410372759,0.0354508446145532,0.0200300729748104,0.0469210310332515,0.0822335036785983,0.0354480616083225,0.0200300887957204,0.0469234792408226,0.0822234443861129,0.035451753231539,0.0200299329293076,0.0469236777028261,0.0822308417720075,0.0354505016220538,0.020030026458776,0.0469224971076651,0.0822287455622247,0.035448599196757,0.0200300022744499
8000,0.8,1000001,0.991566251575071,10.0515180702565,2.00344140473314,-0.0234322087997191,1.14175962169397,9.74866999842223,1.8549500816994,-0.0535097919945038,2.05323000780977,7.99125948696075,0.851647333316148,0.202939615074179,1.10084275739077,9.8343907649294,1.87164043876088,-0.0218661274933313,1.08991873630492,9.87231756988541,1.87164444725118,0.00545963829102246,1.1477032070487,9.71665248327096,1.85575618031628,-0.0530890365879398,1.1478329889793,9.7172124253324,1.85457081999769,-0.0530470762914142,1.12309923062794,9.82071716222106,1.86124396109388,-0.0527500081986864,1.12342950354857,9.82027992062253,1.86070081140489,-0.0526943992782335,1.10238054060708,9.89141888465804,1.87046674833899,-0.0523202236560209,0.0361468937908777,0.0515918635435442,0.026127643740408,0.0160600569825866,0.0753885037664283,0.18087140380671,0.0647808320546965,0.0384224193869592,0.0375050105277806,0.0513362697298981,0.0329242247532211,0.0254857787483115,0.0471492727135059,0.0712060764202505,0.0413984504063745,0.0303200324816768,0.0462287975721673,0.068648648175204,0.0402412433138332,0.029562683363867,0.0750684252094507,0.179478565964926,0.0646552517524062,0.0384192350154831,0.0750676617919527,0.179465394966798,0.0646571286783296,0.0384191545916354,0.0748872399151093,0.178179311233559,0.0646394632580097,0.0384148790323233,0.074874513303808,0.178117906984636,0.0646333692976261,0.0384145208687991,0.0747018955794886,0.177060604339298,0.0645812591712324,0.0384087826305815
8000,0.4,1000002,1.00075084749482,9.99268903337696,2.00146930649117,0.0103117064110574,1.01240297164002,9.97410699290007,1.9940389753291,0.047161390322236,1.3023588364346,9.52194438984957,1.72179526543093,0.0451381337466454,1.01500584073204,9.98845883288081,1.98877857797535,0.03412032651375,1.06956159735044,9.88396327862288,1.95289376428821,0.0293758284585777,1.01242588659767,9.9743268549774,1.99395924520006,0.0471945475398168,1.01313948363417,9.97295152965771,1.9934072399784,0.0471530118371053,1.01118408031038,9.97751546630541,1.99438921627573,0.0472276310038626,1.01125004712617,9.97722646371585,1.99443238582218,0.0472005503617239,1.01225462742948,9.97484972650411,1.99371576882536,0.0471879164604583,0.0354324972589956,0.0509312024252667,0.0257559278286184,0.0156759302344009,0.0463210519130564,0.0801776034885995,0.0353196329216806,0.019702092099084,0.0389995537948053,0.0584599885453414,0.0304714908504317,0.0182185132886357,0.0390611742701304,0.0588535997318833,0.0300364171356341,0.0181738934440606,0.0394207802816538,0.0594982260862277,0.0304785166181354,0.018267053817117,0.0463156083211911,0.0801558544677369,0.0353177556170662,0.0197019429790614,0.0463122740915311,0.0801518910155487,0.0353143485762346,0.0197019829952682,0.0463128556769491,0.0801382469991569,0.0353183271963031,0.0197017654207209,0.0463132136438331,0.0801466467572645,0.0353167697874868,0.0197019233061963,0.0463146654224456,0.0801497298250209,0.035317742913769,0.0197019291366832
8000,0.8,1000002,0.967144117321774,10.0614222055392,2.00346035792899,0.00412585059700898,0.989542591161704,9.95905539557742,2.04354618059298,0.0289476567574408,1.95804602297722,8.23700238358317,0.902537614724805,0.272787346148014,0.936387310610203,10.0525984342282,2.03924264441899,0.0422262185229697,1.14943895159786,9.66222831842805,1.86122025436114,0.072235353383113,0.997723372656025,9.91547708173918,2.04626640702125,0.0289665707850476,0.997809055316574,9.9161311107139,2.04571780531369,0.0289765647887639,0.982546087514158,9.98511659616055,2.04781282851584,0.0285740508682586,0.983940454867288,9.98205858988145,2.04839672580186,0.0285612531140506,0.983221110899704,9.98623873659719,2.04249965010617,0.0282396321112233,0.0353857895628664,0.0512440104914058,0.0255471191329854,0.0158413656961693,0.0712222144371763,0.168944058059262,0.0596511826955815,0.035983893533186,0.0371912129874932,0.0520359877769096,0.0320752960020209,0.0240717480677248,0.0456779617126028,0.0700182158302372,0.0385722890409581,0.0289476045487475,0.044796213107923,0.0668044446545318,0.0384450120315368,0.0282410888784874,0.0709411826703732,0.167781081938292,0.0595493564340817,0.0359802510450241,0.0709388371910069,0.167761714884594,0.0595508181211675,0.0359800853474227,0.0708438516655485,0.166945936508542,0.0595626672408926,0.0359765439366258,0.0708254626587779,0.166873872001326,0.0595494362549501,0.0359758930506078,0.0707678314316481,0.166544755154459,0.0595550072932005,0.0359738662015281
8000,0.4,1000003,1.03773093361773,9.96813385068243,1.95635045171016,0.010017164709606,1.05376295077761,9.9623314776717,1.9401499925059,-0.010908762010812,1.32810250033241,9.50413894459964,1.6834756575713,0.0131953091757647,1.0433677248764,9.96576317230691,1.94517527240585,0.00681564141710382,1.01300310926608,10.0129687075017,1.97104093430768,0.0100926309936502,1.05331677478494,9.96353039094849,1.94043413093613,-0.0110336601660709,1.05362491737677,9.9629095508642,1.94022977985608,-0.0110411485277011,1.05272737595827,9.96563843116682,1.9403923201997,-0.0110666623589895,1.0527539812767,9.96529991570495,1.9405762233138,-0.0110200357731418,1.05236853187479,9.96616945795556,1.94103236913927,-0.0110694101410519,0.0358479782372938,0.0513055204103574,0.0254547421061855,0.0157218987913867,0.0473780477804909,0.081935446505676,0.0357646257729192,0.0206930191653954,0.0395401847524037,0.0587604142860625,0.0304397295991056,0.0189037072562468,0.0397807841349726,0.0594145147175311,0.0300963959529906,0.0188078990311415,0.0397493583901024,0.0593393085548282,0.029938614332146,0.0187798706243998,0.0473728066044192,0.0819157280709661,0.0357626958010054,0.0206928994240011,0.0473686923244672,0.0819099046995048,0.0357592568854447,0.0206929269573043,0.0473725688707889,0.0819053895416997,0.0357638397858227,0.020692758271026,0.0473727990544639,0.0819126489569746,0.0357626319958147,0.0206928573441824,0.0473729790569982,0.0819121810008425,0.0357628801084956,0.0206928343195198
8000,0.8,1000003,1.04505133016538,9.92617321802466,1.97437473742964,0.0105896770094079,1.12124252253885,9.58659773780811,1.96969781721036,0.0546739091107323,2.10953651576661,7.92942237815609,0.818246865316672,0.269682116931817,1.12647911405661,9.81598911563942,1.88178353858649,0.0303557007569482,0.856400022753941,10.2584548653446,2.14536635774656,0.0707300489840836,1.12119597799236,9.56776744446015,1.97673457529937,0.0537437729894447,1.12161003475859,9.5675473358647,1.97540040139703,0.0537176827519002,1.09126191104255,9.70302650635189,1.97969153762163,0.0533170225441679,1.09305673845338,9.69831719412565,1.97860251345798,0.0531828513006928,1.05228268829656,9.79390854692647,2.02771222401054,0.0548098515364786,0.0358016748174596,0.0513284434847262,0.0257281773781042,0.0157187937069589,0.0737254774528958,0.17235354053243,0.0618578244827544,0.0332706208002739,0.0366025987627311,0.0498481946619663,0.0320543390435108,0.0233700837210718,0.0470247204991431,0.0708960911892698,0.0403492817133041,0.028173918853801,0.0449250111764999,0.0677875489594002,0.036329948082267,0.0275857157024143,0.0732865542481709,0.170492881007611,0.0616853448664196,0.0332659609361895,0.0732881232351888,0.170483551455053,0.0616902720267279,0.0332658716419045,0.0731758342302067,0.169769879889442,0.0616667735520536,0.033261021264958,0.0731579397256815,0.16968055474133,0.0616582956947149,0.0332602633422831,0.0729626584372205,0.169362966261774,0.0613731721269953,0.0332581199528395
8000,0.4,1000004,1.00418667138821,9.9736285695151,2.01854166213994,0.0232672396967649,1.0212868388315,9.94199523182946,2.02262113201038,0.0307125415468041,1.29248422374043,9.50503709963934,1.76640036402598,0.0513369205754801,1.01510964887949,9.95213391005245,2.02567623325414,0.0441490959596664,1.00864841461665,9.96260093402617,2.03192449071059,0.0427336444331555,1.02108763640346,9.94267621389421,2.02269338843864,0.0307248440276029,1.02151909421821,9.94184607117696,2.02232391969667,0.0306926552454708,1.0200855213447,9.9452231063351,2.02299623531455,0.0307450303046849,1.02000051457043,9.9453374538047,2.02309093520168,0.0307299253696778,1.02033738856253,9.9439776014778,2.02323028408012,0.0307038251923892,0.0352795882500902,0.0508198369843107,0.025346773198137,0.0156466874740475,0.0460884850065206,0.0803409486530053,0.0346816031717612,0.0202028847265407,0.0384141278303605,0.0573198804651355,0.0296919226957845,0.0183328380460447,0.0385008247609068,0.0576036671898474,0.02926688819813,0.018266088904455,0.0384603016282043,0.057759661776975,0.0291754211119795,0.0183464333880033,0.0460826537229625,0.0803163536181799,0.0346797914640153,0.0202026702734822,0.0460792498823887,0.0803124792049368,0.0346766238296259,0.0202027281501751,0.0460799602078143,0.0802959509394484,0.0346804350293748,0.0202023826340339,0.0460800276281581,0.0803036820982644,0.0346789016803825,0.0202025885382375,0.0460809780467601,0.0803093944738229,0.0346790280526772,0.0202026272969372
8000,0.8,1000004,1.00871944993281,9.97840528108558,1.97340497286097,0.0211734059475556,0.975401657865025,9.97503419283087,2.00432099353872,0.0336821120903286,1.84222763729734,8.49006007490281,1.0061454279467,0.184640959229477,0.951274929387755,10.134605956909,2.00564811427987,-0.0151417882999705,0.854288221579588,10.3630192435959,2.06690039911226,-0.00591378505984504,0.986239223112721,9.92556333202162,2.00389186610301,0.0345619196425626,0.984654678786961,9.92912425995031,2.00379387604186,0.0345546915301949,0.968649552809016,9.99748835373193,2.00801661005275,0.0342967092601252,0.967392247363212,9.99926780543995,2.00917292191179,0.0342988859726846,0.953091258716327,10.052080245235,2.0182820583338,0.0335779164915957,0.0353422385772244,0.0505445955408584,0.0250997340263982,0.0157699978586704,0.0746427080716042,0.173796501450242,0.0614804620459171,0.0347496451019211,0.0384941887569222,0.0550174423771827,0.0341496665336067,0.0258066321944443,0.0472013014581045,0.073360929713683,0.040155207441545,0.0299636012377655,0.0478313701568285,0.0747654977024914,0.0401980247667579,0.0298857894281578,0.0742085764194501,0.172078846868635,0.0613078131356378,0.0347463307485646,0.0742113347963647,0.172074494032426,0.0613108036337057,0.0347462911191865,0.0743050223137778,0.1720743115661,0.061388072464816,0.0347422487510909,0.0742897614718932,0.172004730347265,0.0613785535221292,0.0347417596704573,0.0743647029584986,0.172127223149797,0.0614087053165684,0.0347402199572617
8000,0.4,1000005,1.08376059912012,9.88687087104486,1.9586751362362,-0.00232350512098296,1.03190170540797,9.98771646927869,1.98083831307711,-0.0166772645497726,1.34231185696139,9.48587627935536,1.70125047018644,-0.0034093084473442,1.03991548971149,9.97698950172217,1.97894664886411,-0.0132985159978013,1.01641591028177,10.0221926510754,1.99660129316461,-0.0137330857263946,1.03199613009302,9.98761783562618,1.98081324112189,-0.0166037123114139,1.03274019649672,9.9861673126766,1.98024549450947,-0.0166456664484387,1.03100263987186,9.9904287272397,1.98102196000228,-0.0165785667957728,1.03131132786897,9.989694758201,1.98089497238396,-0.0166141747746706,1.03173348943365,9.98824961493309,1.98109495363241,-0.0166537991784347,0.0366632121677799,0.0522138373323665,0.0261306480364862,0.0156006502555582,0.0480774449418024,0.0833172014128278,0.035934311062864,0.020621171448895,0.0405668728473794,0.0607993968866906,0.0312037915379023,0.0187414233835105,0.0408559029216115,0.0613509929465581,0.0308881827830472,0.018666646212254,0.0410513221586033,0.0620263443117283,0.0308625759059757,0.0187424428061491,0.0480725187433599,0.0832954617405302,0.035933108558993,0.0206209850146862,0.0480695991727761,0.0832922228119099,0.0359306349129011,0.0206209984969786,0.0480710589668121,0.0832793438003835,0.0359337407418504,0.0206208075020945,0.0480713346287541,0.0832865131490548,0.0359327008326231,0.0206209226338064,0.0480721009094122,0.0832912934696018,0.0359331365021962,0.0206209548820783
8000,0.8,1000005,1.00950168362524,10.0098919939073,1.99564520982722,-0.0176671383982607,0.872734034141318,10.3790756073554,2.0448110018181,-0.0466166287141829,2.07390968654483,8.02835481608294,0.809775799798214,0.211935382354546,1.07870369246191,9.90020030701302,1.88438325041468,-0.0369979002605111,1.0897106547349,9.99309608117787,1.83347026597902,0.00347609340916223,0.877445076057586,10.3340506855602,2.05172246556964,-0.0460726991410204,0.876577761523526,10.3372018624613,2.05131904021582,-0.0460715760684181,0.886919519884433,10.326216766083,2.03686390751545,-0.045610175379881,0.887939510594725,10.3243468249634,2.03527850973691,-0.0455875069938397,0.866790933143653,10.4139960526216,2.04081202936169,-0.0466558744450986,0.0373113105232362,0.0537678672508547,0.0265421792067594,0.0159024856746679,0.0785864082900313,0.185233791266711,0.0647596167014893,0.0356929399245733,0.0384871365373645,0.0533934312879292,0.0334053075844275,0.024182992744496,0.0498974043018784,0.0757923813813014,0.0420474779727374,0.0296059573390587,0.0507665199863761,0.0763620276240321,0.0427828511652965,0.0288188559041226,0.0783368342879643,0.184113250593438,0.0646758997008138,0.0356913768197042,0.0783345750470262,0.184106127299201,0.0646760635200212,0.0356913774403813,0.0782726593750183,0.183547027287244,0.0646832842992775,0.0356852850418054,0.078258914323021,0.183476599602566,0.064678892649976,0.0356848643734518,0.0781978363333065,0.183135252306916,0.0646687083971355,0.0356762548816238
