"n","q","seed","B.or.B1","B.or.B2","B.or.B3","B.or.B4","B.cc.B1","B.cc.B2","B.cc.B3","B.cc.B4","B.ml.0.B1","B.ml.0.B2","B.ml.0.B3","B.ml.0.B4","B.ml.1.B1","B.ml.1.B2","B.ml.1.B3","B.ml.1.B4","B.ml.2.B1","B.ml.2.B2","B.ml.2.B3","B.ml.2.B4","B.sp.00.B1","B.sp.00.B2","B.sp.00.B3","B.sp.00.B4","B.sp.01.B1","B.sp.01.B2","B.sp.01.B3","B.sp.01.B4","B.sp.10.B1","B.sp.10.B2","B.sp.10.B3","B.sp.10.B4","B.sp.11.B1","B.sp.11.B2","B.sp.11.B3","B.sp.11.B4","B.sp.22.B1","B.sp.22.B2","B.sp.22.B3","B.sp.22.B4","V.or1","V.or2","V.or3","V.or4","V.cc1","V.cc2","V.cc3","V.cc4","V.ml.01","V.ml.02","V.ml.03","V.ml.04","V.ml.11","V.ml.12","V.ml.13","V.ml.14","V.ml.21","V.ml.22","V.ml.23","V.ml.24","V.sp.001","V.sp.002","V.sp.003","V.sp.004","V.sp.011","V.sp.012","V.sp.013","V.sp.014","V.sp.101","V.sp.102","V.sp.103","V.sp.104","V.sp.111","V.sp.112","V.sp.113","V.sp.114","V.sp.221","V.sp.222","V.sp.223","V.sp.224","time.xz.param","time.xz.nonpar","time.cz.param","time.cz.nonpar","time.est.or","time.var.or","time.est.cc","time.var.cc","time.est.ml","time.var.ml","time.est.sp","time.var.sp"
200,0.4,8000080,1.23145489261811,9.83847780819974,1.85367999476637,0.188898159704579,1.02442073342349,10.6203121139007,1.87723994336216,0.116705403995097,1.60291683388744,9.18171680056634,1.53463049454826,0.157256262886997,1.14965387946287,9.8898711578979,1.95726832470582,0.150260797757684,1.3894936941926,9.55394122972097,1.74367347883978,0.162651395227057,1.03067351330241,10.6031201477633,1.87457160329042,0.116835802420391,1.03207437191848,10.6033968194924,1.87290562321884,0.11702445402885,1.03072612380119,10.6016277473916,1.87511774842518,0.116564455207565,1.02941751618996,10.6077641048408,1.87499050240607,0.116498921292782,1.03304363434929,10.5992014188088,1.872367038758,0.116842532135697,0.200521039296913,0.305434154025279,0.160266928364397,0.10438356342051,0.277912697994129,0.534676883881773,0.232689744777139,0.127671935043341,0.256343163485432,0.447054996409808,0.207784189428013,0.117520161964848,0.243326125553782,0.420307773919385,0.206389469232646,0.117293382629363,0.264048237760454,0.428389983216091,0.225874812203093,0.119048475130245,0.280539436099092,0.541365473593712,0.234123494628957,0.127807921104227,0.280476085550309,0.541701174012922,0.234183398141884,0.127773892975834,0.278515601453093,0.53778153971871,0.232579193817756,0.127865801540136,0.277641064427077,0.536519784788017,0.231910256746785,0.127799607000975,0.278021227445797,0.534909002835954,0.232796667752878,0.127778883340985,0.0383732318878174,0.2849280834198,0.0363035202026367,0.456649780273438,0.0026705265045166,0.00192451477050781,0.00183320045471191,0.0014183521270752,0.154057741165161,0.0731201171875,33.4806084632874,11.8245015144348
800,0.4,8000080,1.15529705860208,9.85040211169425,1.89668938395945,-0.0139146466965617,1.23931059388049,9.7420205370908,1.80875258672087,-0.0203922805695031,1.42710137314651,9.42841554095899,1.63746201401062,-0.0133414959860386,1.15959059378263,9.86526111406681,1.89697669591791,-0.0165074759563838,1.2195679682233,9.6826714629869,1.89229545410779,-0.0226700216602618,1.23890908194243,9.74096223950651,1.80983855591873,-0.0205013589318306,1.23825123228031,9.74219618853735,1.81000063214765,-0.0205851339258462,1.24087679480992,9.73644864829775,1.80874782669791,-0.0203641366542565,1.24011976807112,9.73788366484571,1.8092917601171,-0.0203000506397564,1.24253101469831,9.73087396518043,1.80877368698041,-0.0202902755256354,0.110710372503599,0.159202139382834,0.080616887524788,0.0492868095188896,0.132520721551501,0.227574114992334,0.103219174880466,0.0633300176035745,0.127522218540788,0.199256320115758,0.0979835734462596,0.0575989989487957,0.121053141449933,0.18970003780015,0.0955825393491411,0.0577214450652425,0.146152605631711,0.250839737517746,0.112190996830574,0.0602023926389367,0.131968594063687,0.224817733315524,0.103165014599615,0.0633395016499588,0.132076989373522,0.225319612616638,0.103274704951991,0.063353464475954,0.131844580080298,0.223809716069082,0.10314242553205,0.0633327809348194,0.131691184840128,0.223852281129152,0.102993187085125,0.0633425981004747,0.132005484267503,0.225773399357536,0.102990171488072,0.063372755046448,0.0583858489990234,1.30030250549316,0.0619962215423584,1.36544108390808,0.0030522346496582,0.00561928749084473,0.00228166580200195,0.00366830825805664,0.503481149673462,0.261722326278687,33.7175853252411,11.8346033096313
8000,0.4,8000080,0.940263931686639,10.0603259764679,2.04018123664773,0.023694211285146,0.979526422950256,9.96841844701484,2.01056676320896,0.0130469621824891,1.21300750192027,9.62108082368876,1.77261915875866,0.0266314423951202,0.938701816486712,10.0696839423933,2.02793476046293,0.0228280355385241,0.93055908971971,10.076523685709,2.03770587143268,0.021826497086327,0.97965164097908,9.96905218942724,2.01023896769636,0.0130740049288005,0.98059222738918,9.96689549907962,2.00963683803127,0.0130842604535736,0.97840299029825,9.97251470629753,2.01066934092316,0.0130632325553994,0.978461218422954,9.97178030867885,2.01097498730329,0.0130610953733253,0.978779936316701,9.97070902364081,2.01106587564383,0.0130201237347223,0.0365357931927954,0.0528185235577077,0.0261010442705416,0.0158624218896366,0.0475272709633901,0.082419497835416,0.0355260962391714,0.0201870369360168,0.0424019743367137,0.0659858194056816,0.0319259089009094,0.0187877999048348,0.0418672157439169,0.0652450877657285,0.0321523140168945,0.0186903401912065,0.049012322894584,0.0812236401588713,0.037059010950121,0.0192840645589116,0.04739233776768,0.0816385190907462,0.0355472394397637,0.0201796717553834,0.0474183247693845,0.0818064764308628,0.0355565586642603,0.0201824782359895,0.0472633087755273,0.0811451974493666,0.0354895572085016,0.0201756166729108,0.0471958758800262,0.0811689456115169,0.0354038670934893,0.0201783042484584,0.0472585790297394,0.0814347690227719,0.0354084669609273,0.0201825788318163,0.308762311935425,20.702440738678,0.377039432525635,15.5631420612335,0.0136010646820068,0.0494029521942139,0.0088808536529541,0.0408904552459717,4.7527596950531,2.61064386367798,37.451390504837,13.1495449542999
200,0.8,8000080,NA,NA,NA,NA,-0.278524696244828,12.9701578723962,2.88386246032097,0.252330170555179,NA,NA,NA,NA,0.199972492068213,11.2963715859973,2.83877778566251,0.268716247770636,0.353925335608881,11.0002932610083,2.66749739480199,0.226805507484875,-0.317639951395667,13.0210247839532,2.92287586337825,0.250974144096538,-0.32231632788449,13.0431971176569,2.92578619099129,0.250576524089138,-0.257204602168346,12.8326009640145,2.88671375301727,0.251894778285669,-0.254319318670462,12.8367977421115,2.89254640365718,0.250389768299278,-0.245613346632066,12.808814439888,2.87869049219796,0.251646320994537,NA,NA,NA,NA,0.534576447903496,1.01907767456997,0.485625941277468,0.22372299331444,NA,NA,NA,NA,0.419280694774365,0.97105353351874,0.479160657164951,0.229901016799923,0.560252987650549,1.38063468845264,0.497027105434461,0.235524461467831,0.561962523172341,1.11910242163176,0.501195385514626,0.224163193269127,0.564988053858735,1.12983482525342,0.502805475633975,0.223967394400138,0.545782535389497,1.07402809016362,0.48631752322712,0.225054828185682,0.542599811409928,1.06674719283675,0.480899167486116,0.224477190625126,0.549153248446298,1.08140948257624,0.489217636770882,0.224913165169524,0.0387520790100098,0.672878980636597,0.0371849536895752,0.161811113357544,0.00490856170654297,0.00272059440612793,0.0155224800109863,0.0010063648223877,0.368824243545532,0.127078294754028,43.4069576263428,11.7373163700104
800,0.8,8000080,1.11937404893837,9.99132172546922,1.85748151187362,-0.00979969804285622,1.18487784141274,9.75681710566388,1.95174043311068,-0.0632797729885946,2.21311234779027,7.79505277517423,0.675203560488714,0.255157263791132,1.31848754676956,9.51777264972285,1.66828828690072,0.0261467077437963,2.40100508441271,7.8533082903198,0.789708946708754,0.44366367446844,1.19356590709762,9.7110380694976,1.95369304344669,-0.0633741733084039,1.19504285468193,9.7088280868182,1.9538069521109,-0.0634224010430289,1.17890289174826,9.78062837675626,1.95430224326106,-0.0645429226132946,1.18494780548688,9.76730394315723,1.95429909715488,-0.0649896762768689,1.13092561433872,9.95544154373801,1.9874073003719,-0.0675378707929124,0.108428605888918,0.153442609730258,0.0803394518822146,0.0486418302713493,0.209220667086021,0.507723294842714,0.187040340331441,0.0972635552315438,0.282096472198143,0.734686915137981,0.22814318654663,0.142109057754279,0.195193301936737,0.362046612290124,0.224780839096622,0.0800223572764973,0.355498195682993,0.577560378307564,0.354111881042295,0.149598363653113,0.212172922041386,0.500868521462949,0.192912994484107,0.0974773585763059,0.212590130452749,0.501860582724629,0.193166359483725,0.0974608625464348,0.190870453694794,0.411280566445644,0.181176506963975,0.0969153214249133,0.190698431419247,0.410373202059759,0.180502816787502,0.0968672007326747,0.201567476148421,0.43383345410345,0.18911383567866,0.0962347864322975,0.0616462230682373,0.910512447357178,0.0587365627288818,0.532439470291138,0.00322175025939941,0.00542616844177246,0.00207042694091797,0.00173163414001465,1.20689344406128,0.49000358581543,34.0683279037476,12.1087982654572
8000,0.8,8000080,1.03102976385246,9.96409445388017,1.9704332388454,0.0201352535674474,1.02476872968402,9.94088891141706,1.98972476084654,0.00259245189095354,1.92679990851183,8.31522121903201,0.941605179416622,0.203504457240307,1.00531162133574,9.99633859783775,1.98542114787541,-0.000111317470030178,1.10234751507978,9.73972316669816,1.93386136326899,-0.017087997286959,1.03796403347398,9.88585909192964,1.9879020113335,0.00256571713822549,1.03750391372078,9.88739442482204,1.98696847136571,0.00260555252950123,1.02287142863475,9.95462722798056,1.98893807842535,0.00178229929947573,1.02309582583722,9.95395371799988,1.98867398853522,0.00182315724097651,1.04522833504134,9.87693855120686,1.97763368471859,0.0024860118535365,0.0362217342920196,0.052256620398634,0.0260781539815783,0.0157691892670269,0.0751323213117906,0.172861579012057,0.0621946989561635,0.0354166796748066,0.0706098155428038,0.155169395851673,0.0565041661366904,0.0339531519569075,0.0627832084157021,0.117564141056744,0.0656269785140136,0.0288001918098097,0.119842165747783,0.249942442646074,0.106986289507022,0.0293492926440343,0.0733985096206621,0.160613778960092,0.0627151438261818,0.0354382210168984,0.0735658094048623,0.161132349353722,0.06286541823491,0.035434971972872,0.0691420095745156,0.142816056616364,0.0604392650870382,0.035302949449241,0.0689321738431766,0.142329198095082,0.0601396711631889,0.0353086399680218,0.0702410975185781,0.149184610658965,0.0606278767800602,0.0354056586080915,0.329075574874878,17.0881099700928,0.338394403457642,6.53641653060913,0.0132815837860107,0.0600771903991699,0.00524306297302246,0.010272741317749,9.88158655166626,4.93478727340698,43.9043183326721,14.5539031028748
200,0.4,8000081,0.843476497777925,10.2514410854936,2.05907441268036,0.0922326659454735,1.09964138260799,9.9467029737247,1.81071451468118,-0.00289059353079151,1.3054770120416,9.5079111860807,1.64397573285808,0.0646251309865399,0.877373335872813,10.2172372535799,2.01169823360374,0.0839575155013808,0.887513488438587,10.1858864861179,2.01287305708606,0.0829742407931982,1.10625040321285,9.93451997544836,1.80637226154987,-0.00270427893272571,1.11116188148103,9.9255044851474,1.80276111978191,-0.00251535263931472,1.10281817154718,9.94222412703825,1.80883812583802,-0.00294248300554866,1.10182798364017,9.94313823542858,1.81015549255634,-0.00306034369264487,1.10166240214995,9.94305921010117,1.81045796702084,-0.00294238292104421,0.246415546204391,0.361452047202913,0.178424936548441,0.0948103408341749,0.305401984913098,0.558978841290003,0.217270324732686,0.114088106222804,0.250666709735845,0.392151151296068,0.189303106005508,0.114562467317459,0.267747119225549,0.417470839402498,0.20514333468818,0.113280735655317,0.395304336926458,0.636242799971152,0.296283045557182,0.116579923151458,0.306253839292242,0.558836244073521,0.218035186691014,0.114057410824017,0.306383074741664,0.559808280080714,0.217928733307713,0.114098449212201,0.304445696781004,0.553687921449343,0.217064863219657,0.114012476873823,0.303219248421503,0.552547062699749,0.215942912719967,0.114035460237424,0.30376251495319,0.553701428310763,0.216386851376649,0.11402764770699,0.0375456809997559,0.277788162231445,0.0441219806671143,0.603615999221802,0.00257778167724609,0.00190162658691406,0.00190997123718262,0.00146627426147461,0.157192230224609,0.0682327747344971,33.4022181034088,11.7132427692413
800,0.4,8000081,1.27199229212465,9.72233386565325,1.78332662399478,-0.0935654172055149,1.26878411523168,9.62384129440802,1.84926214718938,-0.107213282612321,1.63003516704475,9.11436987324702,1.48465489399495,-0.0682511317758197,1.32229452103246,9.59136779455065,1.77349783221926,-0.0878300384679287,1.40398816627008,9.41780494093704,1.72701621341092,-0.0965101776437305,1.26713504318497,9.62708882902053,1.85063373830141,-0.106543422459413,1.26748300326114,9.62615966509172,1.85058387540518,-0.106678223928298,1.26833663567355,9.62490851840695,1.84954734196857,-0.106114344732765,1.2686531974475,9.62400487023904,1.8495870954579,-0.106346843119686,1.27115118113384,9.61687446708198,1.84866849625664,-0.106608146520703,0.1189734315221,0.170232401483712,0.0820668476768325,0.0527780777057622,0.159277266543465,0.271414443047438,0.115153039900142,0.0727158582036008,0.145812055467529,0.222243838893112,0.108527042301426,0.0653776845712449,0.136648987533008,0.207427085198674,0.101572939495877,0.0644227674146292,0.157757430012518,0.256353304420465,0.115572300676146,0.0646646591837429,0.15872488350873,0.267872248520635,0.115330519969673,0.0726433473754909,0.159138132432468,0.269258890485276,0.115555528636281,0.0726629184952705,0.157975397040539,0.265235018610059,0.115026112165052,0.0725990851237834,0.157944776974352,0.265901256785764,0.114828863791693,0.0726249046469992,0.158439386410442,0.267615134874154,0.115093385799926,0.072693020350487,0.0759327411651611,0.915772676467896,0.0591752529144287,1.0986475944519,0.00314044952392578,0.00549101829528809,0.00234532356262207,0.00355291366577148,0.495349407196045,0.280822515487671,33.6491103172302,11.8781025409698
